X,Y,R,G,B
0,0,50,4,233
1,0,48,5,230
2,0,56,1,235
3,0,45,8,239
4,0,44,3,235
5,0,42,7,232
6,0,42,5,232
7,0,47,3,237
8,0,45,4,234
9,0,48,2,236
10,0,43,5,231
11,0,43,2,229
12,0,43,5,232
13,0,38,0,236
14,0,43,3,232
15,0,38,3,235
16,0,40,5,230
17,0,47,1,236
18,0,42,2,235
19,0,37,3,238
20,0,38,1,238
21,0,36,2,232
22,0,40,2,239
23,0,37,5,232
24,0,33,5,235
25,0,35,2,238
26,0,37,2,238
27,0,37,5,235
28,0,31,5,238
29,0,29,4,235
30,0,34,3,235
31,0,35,1,237
32,0,32,4,237
33,0,28,3,234
34,0,32,0,241
35,0,31,2,239
36,0,30,1,238
37,0,28,4,238
38,0,29,6,236
39,0,39,2,238
40,0,27,4,239
41,0,29,2,239
42,0,26,5,236
43,0,26,4,234
44,0,28,4,235
45,0,26,3,240
46,0,23,1,240
47,0,21,4,233
48,0,29,2,235
49,0,27,5,238
50,0,25,3,239
51,0,29,7,237
52,0,26,0,240
53,0,21,2,236
54,0,25,4,236
55,0,21,4,234
56,0,18,5,233
57,0,16,1,235
58,0,17,1,236
59,0,22,1,240
60,0,22,3,238
61,0,20,3,238
62,0,25,4,243
63,0,27,8,240
64,0,24,8,238
65,0,19,7,236
66,0,21,4,243
67,0,26,1,247
68,0,20,7,241
69,0,22,7,242
70,0,21,8,242
71,0,23,5,240
72,0,24,8,242
73,0,20,8,240
74,0,21,8,241
75,0,18,9,241
76,0,20,7,244
77,0,20,10,239
78,0,26,7,239
79,0,17,5,243
80,0,18,8,241
81,0,20,11,238
82,0,15,9,236
83,0,22,8,241
84,0,22,8,244
85,0,24,7,244
86,0,16,8,243
87,0,14,6,246
88,0,19,8,245
89,0,13,7,242
90,0,16,9,246
91,0,8,7,244
92,0,10,9,242
93,0,13,7,242
94,0,10,5,243
95,0,9,7,250
96,0,10,5,246
97,0,1,7,243
98,0,11,5,250
99,0,6,5,245
100,0,10,5,243
101,0,7,4,246
102,0,10,4,247
103,0,6,3,246
104,0,9,255,248
105,0,5,2,250
106,0,4,3,250
107,0,9,4,251
108,0,1,3,252
109,0,6,1,254
110,0,7,2,253
111,0,7,1,252
112,0,5,1,254
113,0,253,4,252
114,0,0,255,253
115,0,250,3,250
116,0,2,3,0
117,0,251,2,251
118,0,0,254,1
119,0,253,0,4
0,1,53,4,233
1,1,48,5,233
2,1,53,2,232
3,1,50,4,236
4,1,48,5,236
5,1,46,5,236
6,1,46,3,236
7,1,48,4,240
8,1,43,3,234
9,1,47,4,234
10,1,42,3,231
11,1,45,4,233
12,1,45,4,233
13,1,45,2,233
14,1,39,0,232
15,1,43,3,235
16,1,42,4,229
17,1,41,5,236
18,1,40,4,231
19,1,38,2,237
20,1,38,4,235
21,1,37,3,235
22,1,43,3,238
23,1,41,2,235
24,1,37,4,235
25,1,34,4,236
26,1,37,4,235
27,1,34,5,234
28,1,35,4,240
29,1,32,5,234
30,1,30,4,238
31,1,30,3,236
32,1,33,2,238
33,1,30,4,234
34,1,27,3,236
35,1,31,4,234
36,1,30,1,239
37,1,31,3,237
38,1,27,4,237
39,1,32,6,237
40,1,26,4,239
41,1,30,3,239
42,1,28,4,236
43,1,27,4,235
44,1,26,3,238
45,1,26,4,238
46,1,22,2,235
47,1,24,4,234
48,1,29,4,236
49,1,26,5,238
50,1,23,4,237
51,1,22,4,236
52,1,26,4,234
53,1,22,2,237
54,1,26,2,236
55,1,21,1,234
56,1,17,3,233
57,1,19,3,236
58,1,21,2,235
59,1,20,2,238
60,1,21,3,236
61,1,22,5,236
62,1,25,5,239
63,1,27,5,241
64,1,21,7,237
65,1,20,7,238
66,1,24,6,245
67,1,28,4,244
68,1,22,6,241
69,1,24,5,242
70,1,20,8,238
71,1,25,6,242
72,1,23,6,241
73,1,18,6,238
74,1,19,6,241
75,1,22,8,241
76,1,20,8,242
77,1,18,8,243
78,1,20,6,241
79,1,19,6,245
80,1,18,7,243
81,1,20,7,242
82,1,19,9,241
83,1,22,3,245
84,1,20,6,243
85,1,19,7,243
86,1,15,7,244
87,1,17,7,246
88,1,18,8,243
89,1,16,8,245
90,1,15,7,246
91,1,12,5,244
92,1,12,8,243
93,1,14,6,245
94,1,12,7,247
95,1,11,7,250
96,1,11,4,245
97,1,5,5,243
98,1,10,6,248
99,1,9,4,247
100,1,13,5,247
101,1,9,5,248
102,1,5,6,246
103,1,6,2,250
104,1,10,1,250
105,1,6,1,247
106,1,3,3,252
107,1,2,4,249
108,1,1,3,251
109,1,2,2,253
110,1,2,2,251
111,1,3,0,251
112,1,2,1,253
113,1,255,2,250
114,1,1,2,253
115,1,2,1,0
116,1,3,2,255
117,1,254,1,1
118,1,252,255,254
119,1,253,254,255
0,2,51,8,228
1,2,45,7,230
2,2,50,4,232
3,2,49,5,232
4,2,50,3,233
5,2,48,3,236
6,2,46,5,236
7,2,45,5,238
8,2,45,4,236
9,2,47,1,235
10,2,44,3,237
11,2,42,2,236
12,2,40,3,235
13,2,40,3,234
14,2,41,3,234
15,2,42,3,235
16,2,42,4,233
17,2,41,1,234
18,2,40,3,233
19,2,44,2,238
20,2,38,3,233
21,2,38,1,235
22,2,41,2,236
23,2,42,3,236
24,2,38,3,234
25,2,35,2,236
26,2,38,3,235
27,2,33,3,236
28,2,36,1,236
29,2,33,3,238
30,2,35,2,238
31,2,36,4,234
32,2,33,3,237
33,2,33,4,236
34,2,28,3,235
35,2,30,6,238
36,2,32,3,240
37,2,33,2,239
38,2,32,3,239
39,2,33,7,235
40,2,28,4,239
41,2,31,4,239
42,2,30,2,240
43,2,26,4,235
44,2,33,3,240
45,2,29,4,235
46,2,26,2,237
47,2,23,6,235
48,2,27,4,238
49,2,26,4,237
50,2,24,4,234
51,2,26,3,235
52,2,23,3,234
53,2,26,1,238
54,2,25,0,240
55,2,22,1,237
56,2,19,1,236
57,2,17,3,234
58,2,22,1,235
59,2,22,4,235
60,2,22,3,238
61,2,24,7,240
62,2,25,4,240
63,2,26,5,240
64,2,23,9,238
65,2,23,6,240
66,2,27,5,244
67,2,26,5,240
68,2,23,4,239
69,2,22,8,242
70,2,24,6,239
71,2,26,7,243
72,2,15,9,241
73,2,19,7,238
74,2,21,7,240
75,2,22,6,242
76,2,20,6,244
77,2,20,6,244
78,2,20,7,243
79,2,19,8,245
80,2,17,7,242
81,2,17,7,240
82,2,16,8,242
83,2,18,6,244
84,2,16,7,245
85,2,18,7,239
86,2,16,6,246
87,2,17,7,243
88,2,17,7,245
89,2,16,6,246
90,2,16,7,247
91,2,14,7,245
92,2,10,7,244
93,2,15,7,244
94,2,12,7,248
95,2,9,5,246
96,2,12,4,248
97,2,12,6,242
98,2,11,8,243
99,2,8,5,247
100,2,12,1,249
101,2,8,3,247
102,2,4,4,245
103,2,5,0,250
104,2,6,1,247
105,2,255,6,246
106,2,10,3,251
107,2,0,5,249
108,2,1,4,249
109,2,255,2,251
110,2,0,2,251
111,2,255,3,253
112,2,4,1,252
113,2,0,1,250
114,2,3,2,254
115,2,2,254,1
116,2,3,255,1
117,2,0,255,255
118,2,253,255,253
119,2,254,1,253
0,3,55,9,229
1,3,52,6,231
2,3,51,4,233
3,3,46,4,230
4,3,49,3,232
5,3,47,4,231
6,3,47,5,235
7,3,48,6,234
8,3,48,3,236
9,3,46,4,235
10,3,44,4,235
11,3,40,2,233
12,3,41,4,230
13,3,42,2,236
14,3,42,4,233
15,3,44,1,237
16,3,42,3,236
17,3,43,255,235
18,3,38,4,235
19,3,44,3,233
20,3,42,2,236
21,3,38,2,233
22,3,40,3,236
23,3,38,4,236
24,3,34,4,232
25,3,38,4,236
26,3,35,4,236
27,3,37,4,234
28,3,35,2,236
29,3,33,4,240
30,3,31,4,237
31,3,34,4,235
32,3,35,2,235
33,3,33,4,236
34,3,35,4,234
35,3,32,5,238
36,3,31,5,237
37,3,30,3,240
38,3,30,4,240
39,3,33,4,235
40,3,30,3,239
41,3,31,3,235
42,3,32,2,238
43,3,28,6,236
44,3,28,3,237
45,3,29,4,235
46,3,29,2,239
47,3,25,4,235
48,3,27,4,237
49,3,26,2,238
50,3,23,4,234
51,3,26,2,237
52,3,25,2,240
53,3,27,1,241
54,3,22,2,240
55,3,22,2,240
56,3,20,1,238
57,3,16,2,236
58,3,24,2,238
59,3,22,5,239
60,3,23,5,239
61,3,26,4,242
62,3,25,6,239
63,3,25,6,240
64,3,25,4,241
65,3,25,8,238
66,3,25,4,241
67,3,23,6,240
68,3,25,4,241
69,3,21,7,241
70,3,27,6,243
71,3,22,5,241
72,3,20,7,241
73,3,21,6,239
74,3,23,6,240
75,3,26,6,247
76,3,21,7,242
77,3,19,10,242
78,3,18,7,240
79,3,19,6,241
80,3,17,7,246
81,3,19,8,243
82,3,16,8,242
83,3,18,6,241
84,3,15,6,246
85,3,15,6,241
86,3,17,7,244
87,3,14,5,245
88,3,15,8,244
89,3,16,5,246
90,3,18,8,247
91,3,15,7,247
92,3,10,8,245
93,3,16,5,243
94,3,14,5,248
95,3,12,7,247
96,3,9,6,248
97,3,9,7,242
98,3,12,7,243
99,3,10,5,246
100,3,5,4,249
101,3,6,5,245
102,3,7,6,247
103,3,7,3,248
104,3,7,4,249
105,3,3,4,248
106,3,6,1,247
107,3,4,2,252
108,3,4,2,247
109,3,1,4,248
110,3,1,1,250
111,3,3,3,250
112,3,7,0,254
113,3,255,2,250
114,3,255,1,254
115,3,4,255,1
116,3,0,0,255
117,3,1,255,3
118,3,0,255,254
119,3,253,255,254
0,4,55,6,229
1,4,56,6,230
2,4,54,6,232
3,4,46,6,232
4,4,52,5,232
5,4,50,4,233
6,4,49,2,229
7,4,50,4,231
8,4,50,3,233
9,4,43,3,238
10,4,46,3,235
11,4,41,3,232
12,4,40,5,231
13,4,44,3,232
14,4,46,3,236
15,4,44,4,236
16,4,44,2,237
17,4,39,4,237
18,4,40,3,237
19,4,43,4,236
20,4,39,2,233
21,4,43,2,236
22,4,38,3,240
23,4,35,4,234
24,4,36,3,236
25,4,35,3,234
26,4,35,3,235
27,4,37,3,232
28,4,38,2,235
29,4,31,3,238
30,4,33,4,236
31,4,34,4,238
32,4,33,2,239
33,4,32,4,239
34,4,37,2,238
35,4,34,6,238
36,4,32,4,238
37,4,28,1,238
38,4,30,4,239
39,4,29,4,239
40,4,28,2,237
41,4,29,5,237
42,4,28,3,236
43,4,31,2,239
44,4,26,1,240
45,4,32,1,241
