X,Y,R,G,B
0,0,63,1,235
1,0,62,3,234
2,0,56,0,239
3,0,50,6,233
4,0,51,1,234
5,0,48,2,231
6,0,51,4,234
7,0,52,3,236
8,0,51,4,232
9,0,52,2,237
10,0,50,3,232
11,0,52,2,234
12,0,52,1,236
13,0,45,0,235
14,0,51,0,230
15,0,49,0,232
16,0,49,2,231
17,0,49,253,240
18,0,47,0,239
19,0,42,2,231
20,0,48,254,242
21,0,44,255,233
22,0,50,0,238
23,0,45,3,232
24,0,44,2,236
25,0,42,0,237
26,0,41,255,241
27,0,42,1,233
28,0,42,0,238
29,0,39,3,235
30,0,40,255,235
31,0,42,0,237
32,0,42,0,238
33,0,36,0,238
34,0,40,255,236
35,0,39,254,239
36,0,39,254,239
37,0,41,255,239
38,0,36,3,235
39,0,45,254,239
40,0,43,255,240
41,0,42,255,244
42,0,35,1,238
43,0,34,1,235
44,0,34,2,237
45,0,37,255,240
46,0,41,255,242
47,0,33,255,236
48,0,38,255,238
49,0,36,2,240
50,0,33,254,240
51,0,35,1,238
52,0,36,253,240
53,0,35,0,238
54,0,35,254,237
55,0,26,255,235
56,0,28,255,236
57,0,29,253,235
58,0,27,251,239
59,0,25,253,238
60,0,32,251,239
61,0,28,252,239
62,0,31,254,244
63,0,35,4,238
64,0,39,1,242
65,0,27,4,238
66,0,33,0,241
67,0,35,254,245
68,0,32,1,243
69,0,31,4,239
70,0,32,4,240
71,0,31,1,241
72,0,24,3,239
73,0,30,3,241
74,0,24,4,241
75,0,31,3,245
76,0,28,3,242
77,0,29,5,241
78,0,31,1,244
79,0,30,3,244
80,0,32,4,241
81,0,34,4,243
82,0,27,1,237
83,0,29,1,243
84,0,30,4,241
85,0,28,3,245
86,0,25,3,242
87,0,24,1,244
88,0,30,1,246
89,0,24,2,241
90,0,23,4,250
91,0,25,1,246
92,0,21,3,243
93,0,22,4,243
94,0,22,1,244
95,0,23,0,251
96,0,18,1,245
97,0,15,2,244
98,0,17,1,247
99,0,17,1,247
100,0,17,1,246
101,0,18,0,246
102,0,20,0,248
103,0,19,253,249
104,0,14,254,245
105,0,10,0,248
106,0,14,255,250
107,0,14,0,253
108,0,10,1,0
109,0,11,255,252
110,0,14,255,252
111,0,16,255,251
112,0,12,255,252
113,0,4,0,251
114,0,6,253,252
115,0,3,0,251
116,0,8,255,3
117,0,4,255,1
118,0,1,254,0
119,0,6,0,255
0,1,63,4,234
1,1,61,3,233
2,1,59,2,234
3,1,51,5,232
4,1,57,2,237
5,1,51,4,233
6,1,53,3,236
7,1,54,1,236
8,1,49,2,233
9,1,54,2,237
10,1,49,1,233
11,1,52,0,234
12,1,54,255,236
13,1,48,255,232
14,1,50,254,234
15,1,53,255,237
16,1,54,1,233
17,1,48,2,237
18,1,47,2,236
19,1,46,0,234
20,1,48,0,234
21,1,46,1,235
22,1,49,0,235
23,1,47,0,236
24,1,45,1,236
25,1,42,0,238
26,1,42,0,235
27,1,41,2,234
28,1,41,0,239
29,1,41,1,236
30,1,38,1,238
31,1,41,0,237
32,1,39,255,238
