X,Y,R,G,B
0,0,38,6,206
1,0,37,4,210
2,0,37,3,213
3,0,29,5,212
4,0,32,3,209
5,0,30,5,209
6,0,33,3,210
7,0,24,4,211
8,0,27,3,210
9,0,32,3,213
10,0,22,4,208
11,0,26,4,208
12,0,22,3,210
13,0,21,1,207
14,0,27,0,212
15,0,16,5,208
16,0,24,2,209
17,0,23,0,211
18,0,23,0,215
19,0,25,1,213
20,0,28,0,217
21,0,19,254,210
22,0,22,255,215
23,0,19,2,208
24,0,18,1,213
25,0,13,255,211
26,0,18,255,218
27,0,15,2,211
28,0,15,255,214
29,0,15,0,214
30,0,12,255,210
31,0,13,255,214
32,0,18,254,219
33,0,10,0,214
34,0,17,253,217
35,0,18,253,217
36,0,8,253,219
37,0,11,255,218
38,0,16,255,215
39,0,15,253,220
40,0,14,253,217
41,0,12,252,220
42,0,9,254,214
43,0,9,255,211
44,0,14,253,217
45,0,13,253,216
46,0,11,254,219
47,0,8,253,217
48,0,11,253,216
49,0,12,255,219
50,0,7,253,216
51,0,12,253,219
52,0,9,252,214
53,0,11,253,216
54,0,11,251,217
55,0,0,253,216
56,0,2,252,215
57,0,1,252,210
58,0,4,248,217
59,0,2,254,214
60,0,8,251,218
61,0,4,251,216
62,0,5,253,220
63,0,11,1,221
64,0,5,2,218
65,0,7,1,217
66,0,6,252,224
67,0,6,254,224
68,0,7,255,225
69,0,0,3,218
70,0,5,3,226
71,0,4,1,219
72,0,2,5,218
73,0,4,2,219
74,0,2,3,218
75,0,255,5,219
76,0,5,3,221
77,0,3,5,222
78,0,3,5,221
79,0,4,3,221
80,0,3,6,217
81,0,4,6,224
82,0,0,5,217
83,0,0,5,224
84,0,2,5,221
85,0,1,6,223
86,0,1,4,224
87,0,253,6,222
88,0,4,6,223
89,0,252,5,223
90,0,0,7,228
91,0,253,6,219
92,0,252,7,219
93,0,252,8,221
94,0,253,5,222
95,0,251,6,230
96,0,251,3,224
97,0,246,7,224
98,0,249,7,229
99,0,250,4,226
100,0,248,6,221
101,0,244,4,223
102,0,251,4,230
103,0,250,4,228
104,0,247,255,228
105,0,249,255,229
106,0,245,5,226
107,0,246,5,230
108,0,245,5,228
109,0,243,3,229
110,0,243,5,231
111,0,244,4,227
112,0,244,4,228
113,0,240,4,231
114,0,242,3,229
115,0,241,5,227
116,0,243,4,235
117,0,243,3,233
118,0,239,3,236
119,0,241,3,236
0,1,41,7,210
1,1,35,5,209
2,1,34,3,208
3,1,35,3,210
4,1,36,3,209
5,1,30,5,208
6,1,33,2,212
7,1,33,3,210
8,1,29,3,210
9,1,30,3,211
10,1,25,2,212
11,1,26,2,212
12,1,23,1,212
13,1,24,1,208
14,1,21,0,211
15,1,23,1,215
16,1,25,2,208
17,1,24,3,209
18,1,23,2,213
19,1,21,0,211
20,1,21,2,213
21,1,22,255,214
22,1,25,2,214
23,1,19,0,211
24,1,19,1,211
25,1,12,0,211
26,1,15,0,213
27,1,16,1,211
28,1,16,0,215
29,1,10,255,212
30,1,11,0,212
31,1,16,255,215
