X,Y,R,G,B
0,0,42,6,217
1,0,44,4,225
2,0,42,3,226
3,0,42,5,227
4,0,38,2,226
5,0,36,3,223
6,0,41,1,229
7,0,41,2,227
8,0,41,1,224
9,0,39,2,224
10,0,36,2,223
11,0,38,0,225
12,0,39,1,225
13,0,37,1,225
14,0,36,1,222
15,0,35,0,225
16,0,31,1,220
17,0,38,254,227
18,0,38,253,228
19,0,35,1,226
20,0,35,1,226
21,0,30,0,225
22,0,37,254,231
23,0,31,0,226
24,0,30,0,226
25,0,24,255,225
26,0,28,254,231
27,0,32,255,225
28,0,31,0,226
29,0,25,255,228
30,0,29,255,224
31,0,28,254,227
32,0,25,0,227
33,0,25,252,232
34,0,26,255,231
35,0,24,254,232
36,0,17,0,224
37,0,25,253,231
38,0,24,2,229
39,0,29,254,231
40,0,23,0,228
41,0,23,253,230
42,0,22,254,230
43,0,24,254,226
44,0,23,0,231
45,0,26,253,232
46,0,26,253,233
47,0,20,254,231
48,0,20,255,227
49,0,18,255,233
50,0,19,251,227
51,0,24,254,234
52,0,21,251,228
53,0,14,254,226
54,0,21,253,230
55,0,8,254,226
56,0,14,253,226
57,0,13,251,226
58,0,17,251,231
59,0,16,252,231
60,0,19,255,230
61,0,20,254,235
62,0,20,255,240
63,0,20,3,232
64,0,20,0,234
65,0,16,2,230
66,0,16,253,235
67,0,15,254,235
68,0,20,0,235
69,0,14,4,234
70,0,10,4,233
71,0,14,3,230
72,0,13,2,231
73,0,14,2,234
74,0,12,6,232
75,0,10,4,234
76,0,13,5,234
77,0,13,6,235
78,0,12,4,232
79,0,12,4,233
80,0,14,5,230
81,0,14,8,233
82,0,7,5,228
83,0,12,6,234
84,0,16,5,236
85,0,9,6,237
86,0,15,4,235
87,0,12,2,238
88,0,8,6,234
89,0,8,6,233
90,0,7,9,236
91,0,2,5,234
92,0,9,5,236
93,0,10,7,236
94,0,0,7,232
95,0,4,6,242
96,0,0,3,236
97,0,254,6,232
98,0,3,5,240
99,0,1,4,236
100,0,3,4,238
101,0,252,5,232
102,0,254,2,241
103,0,254,0,239
104,0,1,1,238
105,0,1,2,243
106,0,254,4,241
107,0,4,2,245
108,0,250,4,243
109,0,255,3,243
110,0,254,3,244
111,0,255,0,241
112,0,255,1,244
113,0,247,4,245
114,0,253,0,245
115,0,250,2,245
116,0,250,2,246
117,0,250,2,249
118,0,245,255,247
119,0,251,1,247
0,1,43,4,221
1,1,41,3,221
2,1,43,3,226
3,1,42,3,226
4,1,45,2,228
5,1,38,5,226
6,1,42,1,229
7,1,43,3,224
8,1,39,1,224
9,1,42,2,225
10,1,35,1,227
11,1,38,255,225
12,1,40,0,226
13,1,41,255,225
14,1,36,255,226
15,1,40,255,228
16,1,36,1,223
17,1,34,1,227
18,1,39,255,222
19,1,32,0,226
20,1,36,1,227
21,1,32,1,227
22,1,36,255,230
23,1,33,254,225
24,1,34,255,225
25,1,23,255,224
26,1,27,255,224
27,1,28,0,225
28,1,29,0,227
29,1,26,0,228
30,1,26,0,231
31,1,24,254,228
32,1,24,255,228
33,1,25,255,231
34,1,23,255,228
35,1,22,0,223
36,1,21,254,225
37,1,24,254,230
38,1,24,255,228
39,1,24,1,229
40,1,22,255,229
41,1,23,253,231
42,1,23,254,230
43,1,26,254,229
44,1,23,254,230
45,1,25,254,231
46,1,20,254,229
47,1,20,254,228
48,1,20,254,229
49,1,18,254,231
50,1,19,252,227
51,1,20,253,230
52,1,21,252,226
53,1,14,253,231
54,1,20,251,230
55,1,15,251,225
56,1,16,251,226
57,1,14,252,227
58,1,17,252,230
59,1,18,0,230
60,1,17,255,230
61,1,18,1,230
62,1,18,0,232
63,1,22,1,234
64,1,17,0,231
65,1,15,3,233
66,1,18,0,237
67,1,18,1,233
68,1,19,2,234
69,1,16,1,234
70,1,14,3,232
71,1,17,2,231
72,1,14,1,232
73,1,13,2,232
74,1,13,4,233
75,1,12,4,232
76,1,14,4,233
77,1,13,3,235
78,1,13,4,234
79,1,12,6,235
80,1,11,7,231
81,1,14,4,233
82,1,12,5,233
83,1,10,3,237
84,1,14,4,236
85,1,7,6,234
86,1,9,6,237
87,1,12,6,238
88,1,7,5,234
89,1,6,6,234
90,1,8,5,234
91,1,6,4,234
92,1,6,6,236
93,1,8,5,238
94,1,4,8,237
95,1,6,5,240
96,1,5,3,238
97,1,1,6,235
98,1,3,4,238
99,1,1,5,237
100,1,1,5,236
101,1,255,6,239
102,1,250,2,235
103,1,1,0,241
104,1,3,4,242
105,1,255,0,240
106,1,253,3,243
107,1,0,1,242
108,1,250,3,242
109,1,255,3,240
110,1,252,2,242
111,1,253,1,242
112,1,252,1,242
113,1,247,2,241
114,1,254,2,245
115,1,252,1,245
116,1,250,3,246
117,1,248,2,248
118,1,246,0,246
119,1,250,0,245
0,2,43,6,222
1,2,40,5,222
2,2,42,2,223
3,2,44,5,223
4,2,45,1,223
5,2,41,4,225
6,2,38,4,225
7,2,41,3,224
8,2,43,3,225
9,2,42,1,224
10,2,37,1,227
11,2,38,253,228
12,2,38,255,231
13,2,38,0,229
14,2,40,1,227
15,2,42,1,229
16,2,34,4,223
17,2,34,255,226
18,2,33,1,221
19,2,36,2,228
20,2,33,0,228
21,2,29,1,226
22,2,33,0,230
23,2,34,255,226
24,2,33,255,225
25,2,29,253,227
26,2,27,255,224
27,2,27,0,226
28,2,26,255,226
29,2,28,1,227
30,2,29,255,231
31,2,27,1,224
32,2,24,255,228
33,2,24,0,227
34,2,23,255,228
35,2,23,0,228
