X,Y,R,G,B
0,0,25,2,201
1,0,22,2,205
2,0,29,255,205
3,0,22,2,205
4,0,21,0,202
5,0,22,1,199
6,0,21,0,204
7,0,21,1,208
8,0,19,0,211
9,0,18,1,204
10,0,20,255,203
11,0,15,255,202
12,0,16,0,208
13,0,12,255,203
14,0,14,255,205
15,0,9,1,203
16,0,15,255,204
17,0,19,254,208
18,0,15,254,209
19,0,11,253,206
20,0,14,254,205
21,0,13,252,202
22,0,14,254,207
23,0,15,255,205
24,0,13,254,205
25,0,8,250,207
26,0,17,249,214
27,0,15,253,208
28,0,10,253,209
29,0,8,253,206
30,0,12,251,206
31,0,14,250,208
32,0,14,254,209
33,0,7,251,212
34,0,13,252,214
35,0,11,252,216
36,0,3,250,212
37,0,4,250,211
38,0,4,254,208
39,0,13,250,209
40,0,2,250,209
41,0,6,249,211
42,0,8,250,209
43,0,2,251,208
44,0,6,251,212
45,0,6,251,213
46,0,1,250,213
47,0,5,252,209
48,0,12,249,213
49,0,2,253,213
50,0,251,251,209
51,0,2,252,212
52,0,3,249,211
53,0,6,248,212
54,0,2,249,209
55,0,1,251,206
56,0,251,250,207
57,0,247,251,206
58,0,253,248,208
59,0,251,249,213
60,0,1,251,213
61,0,253,250,214
62,0,255,251,218
63,0,5,255,216
64,0,6,254,211
65,0,3,255,211
66,0,255,253,217
67,0,1,253,214
68,0,253,254,217
69,0,249,3,213
70,0,1,2,219
71,0,252,2,212
72,0,255,3,214
73,0,254,0,214
74,0,255,0,211
75,0,253,4,214
76,0,253,3,212
77,0,252,3,216
78,0,3,3,211
79,0,250,4,212
80,0,255,5,211
81,0,254,6,213
82,0,247,5,212
83,0,246,7,213
84,0,250,6,213
85,0,250,6,215
86,0,248,5,213
87,0,249,4,216
88,0,248,6,216
89,0,247,4,216
90,0,248,7,216
91,0,245,4,214
92,0,246,6,213
93,0,243,7,214
94,0,242,4,216
95,0,244,5,218
96,0,243,3,219
97,0,244,6,218
98,0,245,3,218
99,0,242,5,218
100,0,245,4,217
101,0,241,3,215
102,0,244,5,221
103,0,246,1,224
104,0,239,254,218
105,0,240,0,222
106,0,239,4,222
107,0,244,3,224
108,0,241,4,228
109,0,236,5,220
110,0,236,4,222
111,0,239,4,219
112,0,240,4,225
113,0,235,3,223
114,0,240,0,223
115,0,231,4,219
116,0,236,2,228
117,0,239,1,223
118,0,228,3,224
119,0,235,1,229
0,1,32,3,202
1,1,24,3,203
2,1,27,1,203
3,1,23,2,201
4,1,27,0,205
5,1,20,2,202
6,1,21,1,204
7,1,22,1,205
8,1,22,255,207
9,1,21,1,205
10,1,18,1,209
11,1,16,255,205
12,1,16,253,207
13,1,18,254,202
14,1,17,253,207
15,1,15,254,203
16,1,19,255,204
17,1,17,0,206
18,1,16,253,207
19,1,13,253,208
20,1,14,255,206
21,1,16,254,206
22,1,14,255,208
23,1,15,252,205
24,1,14,253,205
25,1,7,252,204
26,1,12,252,211
27,1,12,254,208
28,1,10,252,209
29,1,9,253,207
30,1,6,252,206
31,1,9,251,208
32,1,12,250,210
33,1,9,252,210
34,1,9,253,211
35,1,7,253,208
36,1,5,250,213
37,1,6,252,210
38,1,8,251,210
39,1,8,252,210
40,1,4,249,211
41,1,5,250,210
42,1,9,249,207
43,1,4,251,209
44,1,7,249,210
45,1,6,251,213
46,1,0,251,209
47,1,4,253,209
48,1,5,251,210
49,1,4,250,213
50,1,0,248,209
51,1,4,252,212
52,1,6,247,210
53,1,1,249,213
54,1,4,246,211
55,1,0,248,207
56,1,252,250,208
57,1,252,249,208
58,1,254,249,208
59,1,254,251,211
60,1,255,250,210
61,1,255,252,212
62,1,1,252,214
63,1,2,254,214
64,1,4,251,212
65,1,3,255,214
66,1,0,255,216
67,1,2,254,216
68,1,254,0,215
69,1,0,255,214
70,1,255,0,213
71,1,0,1,213
72,1,254,2,216
73,1,255,3,210
74,1,252,0,211
75,1,254,1,212
76,1,253,2,213
77,1,252,3,215
78,1,255,2,214
79,1,254,3,216
80,1,253,4,215
81,1,250,4,214
82,1,248,5,215
83,1,248,2,215
84,1,252,5,217
85,1,249,6,211
86,1,249,5,217
87,1,249,5,217
88,1,246,4,216
89,1,248,5,217
90,1,247,5,217
91,1,244,5,215
92,1,245,7,215
93,1,245,4,216
94,1,244,6,219
95,1,245,7,218
96,1,246,5,217
97,1,242,5,216
98,1,245,6,218
99,1,243,4,217
100,1,245,6,217
101,1,243,4,218
102,1,240,3,218
103,1,244,2,222
104,1,243,2,218
105,1,240,0,220
106,1,239,4,221
107,1,242,4,220
108,1,238,2,222
109,1,238,3,221
110,1,239,4,220
111,1,238,3,221
112,1,237,3,223
113,1,235,3,223
114,1,242,0,225
115,1,235,3,224
116,1,236,6,227
117,1,237,0,229
118,1,231,1,224
119,1,235,2,224
0,2,33,7,202
1,2,25,5,201
2,2,25,3,202
3,2,24,4,201
4,2,30,0,204
5,2,17,3,202
6,2,19,2,200
7,2,20,2,204
8,2,24,0,206
9,2,21,254,204
10,2,17,253,208
11,2,16,255,208
12,2,13,255,207
13,2,17,255,207
14,2,17,0,207
15,2,18,255,207
16,2,17,1,207
17,2,16,252,205
18,2,12,255,207
19,2,16,253,210
20,2,13,253,205
21,2,12,253,206
22,2,15,253,209
23,2,16,252,207
24,2,13,254,206
25,2,14,251,208
26,2,11,252,208
27,2,10,252,208
28,2,11,252,208
29,2,13,252,208
30,2,10,251,209
31,2,9,252,203
32,2,7,251,208
33,2,10,252,210
34,2,10,251,208
35,2,9,254,209
36,2,9,252,212
37,2,9,251,211
38,2,10,250,213
39,2,7,251,209
40,2,7,250,212
