X,Y,R,G,B
0,0,49,7,223
1,0,46,4,225
2,0,47,3,223
3,0,44,3,231
4,0,44,4,225
5,0,40,4,224
6,0,40,5,227
7,0,47,1,233
8,0,46,1,227
9,0,44,4,227
10,0,43,2,227
11,0,42,0,223
12,0,45,0,232
13,0,35,1,227
14,0,39,1,224
15,0,39,1,226
16,0,41,0,228
17,0,44,253,230
18,0,38,1,231
19,0,33,0,229
20,0,43,251,235
21,0,34,2,224
22,0,39,255,232
23,0,36,1,224
24,0,32,0,229
25,0,37,254,231
26,0,29,254,231
27,0,31,0,228
28,0,29,0,232
29,0,32,254,230
30,0,31,255,231
31,0,34,251,233
32,0,33,255,231
33,0,26,253,233
34,0,30,253,236
35,0,27,253,235
36,0,35,251,234
37,0,31,254,235
38,0,28,255,232
39,0,35,254,235
40,0,28,255,234
41,0,23,253,237
42,0,29,0,233
43,0,26,255,230
44,0,24,0,232
45,0,28,254,232
46,0,22,254,234
47,0,25,254,231
48,0,30,252,236
49,0,24,254,235
50,0,24,252,231
51,0,23,255,236
52,0,21,253,233
53,0,21,252,232
54,0,21,253,232
55,0,15,254,227
56,0,18,252,229
57,0,16,252,228
58,0,19,249,234
59,0,13,252,233
60,0,21,253,232
61,0,20,253,232
62,0,24,1,240
63,0,23,2,234
64,0,26,1,236
65,0,16,2,230
66,0,16,255,235
67,0,19,253,239
68,0,15,1,237
69,0,17,4,233
70,0,21,4,239
71,0,19,1,237
72,0,14,5,234
73,0,16,5,233
74,0,15,4,234
75,0,11,6,232
76,0,19,4,236
77,0,17,6,235
78,0,22,4,236
79,0,21,5,238
80,0,19,6,234
81,0,16,6,234
82,0,11,6,229
83,0,20,4,241
84,0,17,6,238
85,0,18,7,237
86,0,17,5,240
87,0,17,4,236
88,0,10,7,237
89,0,10,5,235
90,0,15,6,240
91,0,12,5,239
92,0,7,6,239
93,0,6,10,234
94,0,12,4,238
95,0,12,5,244
96,0,10,2,238
97,0,2,6,238
98,0,9,5,241
