X,Y,R,G,B
0,0,37,7,209
1,0,37,7,206
2,0,34,4,213
3,0,31,7,208
4,0,26,4,205
5,0,24,6,207
6,0,30,6,206
7,0,26,4,212
8,0,28,7,208
9,0,30,4,208
10,0,28,4,209
11,0,26,5,204
12,0,25,2,209
13,0,23,5,207
14,0,25,3,205
15,0,19,4,203
16,0,20,6,205
17,0,27,4,209
18,0,19,2,212
19,0,20,7,205
20,0,23,2,211
21,0,16,4,204
22,0,19,4,211
23,0,21,6,206
24,0,18,4,210
25,0,12,3,209
26,0,15,3,215
27,0,18,5,211
28,0,12,4,209
29,0,14,5,209
30,0,12,2,209
31,0,17,2,211
32,0,18,3,213
33,0,10,1,213
34,0,14,1,214
35,0,16,1,215
36,0,11,2,210
37,0,12,3,214
38,0,15,4,212
39,0,15,2,211
40,0,10,3,212
41,0,15,1,214
42,0,8,4,209
43,0,5,4,205
44,0,9,4,213
45,0,14,3,214
46,0,10,1,217
47,0,5,5,207
48,0,7,2,212
49,0,7,5,210
50,0,7,1,210
51,0,9,4,215
52,0,11,255,209
53,0,6,1,212
54,0,7,0,210
55,0,4,2,208
56,0,6,255,214
57,0,255,0,205
58,0,6,254,209
59,0,3,254,216
60,0,6,0,211
61,0,5,255,211
62,0,5,0,217
63,0,7,5,215
64,0,10,4,217
65,0,7,4,212
66,0,3,2,215
67,0,4,2,217
68,0,6,2,220
69,0,4,5,216
70,0,6,6,216
71,0,1,5,213
72,0,6,7,216
73,0,4,5,216
74,0,255,6,213
75,0,254,4,216
76,0,3,4,221
77,0,5,6,218
78,0,6,4,218
79,0,2,5,216
80,0,2,9,215
81,0,3,8,212
82,0,0,6,212
83,0,4,6,218
84,0,5,6,223
85,0,5,7,217
86,0,2,5,219
87,0,3,2,221
88,0,0,6,222
89,0,254,5,220
90,0,0,8,221
91,0,252,3,220
92,0,254,6,220
93,0,255,8,214
94,0,252,6,218
95,0,250,5,224
96,0,252,3,222
97,0,245,4,222
98,0,251,6,223
99,0,250,4,223
100,0,248,4,220
101,0,251,3,224
102,0,251,3,226
103,0,252,1,226
104,0,243,255,218
105,0,244,3,223
106,0,244,1,228
107,0,251,4,229
108,0,247,3,230
109,0,245,3,226
110,0,246,2,225
111,0,248,2,230
112,0,243,3,228
113,0,243,4,230
114,0,246,3,227
115,0,240,3,227
116,0,244,3,232
117,0,240,2,233
118,0,240,1,230
119,0,241,4,233
0,1,37,7,208
1,1,35,6,206
2,1,35,4,209
3,1,35,7,209
4,1,32,6,209
5,1,26,8,207
6,1,33,4,209
7,1,29,5,209
8,1,28,6,206
9,1,29,6,210
10,1,27,4,210
11,1,24,6,208
12,1,25,3,208
13,1,25,3,206
14,1,23,3,207
15,1,24,3,206
16,1,26,6,205
17,1,21,7,207
18,1,21,5,208
19,1,20,6,208
20,1,21,5,208
21,1,19,4,208
22,1,22,5,208
23,1,22,2,208
24,1,18,6,210
25,1,14,4,208
26,1,12,5,209
27,1,14,5,209
28,1,13,4,210
29,1,14,4,209
30,1,11,3,209
31,1,13,2,212
32,1,14,1,211
33,1,13,2,214
34,1,10,3,211
35,1,14,4,209
36,1,13,3,213
37,1,11,3,210
38,1,13,4,209
39,1,13,4,212
40,1,8,2,211
41,1,10,3,212
42,1,11,4,210
43,1,10,3,209
44,1,9,2,210
45,1,9,3,213
46,1,5,3,210
47,1,5,4,209
48,1,10,2,213
49,1,11,4,212
50,1,7,1,212
51,1,7,1,210
52,1,11,255,211
53,1,5,0,214
54,1,6,1,208
55,1,4,255,209
56,1,4,253,210
57,1,2,0,209
58,1,5,255,209
59,1,3,0,211
60,1,4,0,209
61,1,5,1,209
62,1,5,2,212
63,1,7,4,213
64,1,7,3,215
65,1,8,3,214
66,1,7,3,219
67,1,5,4,215
68,1,5,3,217
69,1,5,4,218
70,1,4,4,218
71,1,5,5,215
72,1,5,5,217
73,1,6,6,214
74,1,3,3,216
75,1,1,7,216
76,1,4,4,218
77,1,6,4,218
78,1,2,4,219
79,1,3,4,218
80,1,1,6,216
81,1,4,4,217
82,1,3,6,216
83,1,4,4,219
84,1,4,4,220
85,1,2,5,217
86,1,3,5,221
87,1,4,6,223
88,1,4,5,218
89,1,0,4,221
90,1,0,6,220
91,1,253,4,218
92,1,253,7,221
93,1,252,6,218
94,1,255,7,221
95,1,253,5,223
96,1,254,3,224
97,1,249,3,222
98,1,250,5,223
99,1,250,4,222
100,1,251,5,222
101,1,250,5,224
102,1,247,4,219
103,1,248,3,224
104,1,249,1,225
105,1,244,0,222
106,1,246,1,228
107,1,247,4,226
108,1,247,2,233
109,1,242,3,225
110,1,247,1,226
111,1,245,2,229
112,1,243,4,226
113,1,241,3,225
114,1,245,2,227
115,1,243,2,233
116,1,243,4,229
117,1,239,2,232
118,1,238,2,230
119,1,240,1,229
0,2,37,9,207
1,2,33,8,205
2,2,37,5,205
3,2,35,6,207
4,2,33,6,206
5,2,27,6,204
6,2,29,6,208
7,2,31,5,210
8,2,32,8,208
9,2,30,3,209
10,2,26,4,211
11,2,25,4,212
12,2,24,4,210
13,2,23,4,210
14,2,25,5,209
15,2,25,5,209
16,2,22,6,210
17,2,21,3,208
18,2,19,5,207
19,2,22,4,209
20,2,17,4,208
21,2,19,3,209
22,2,20,5,212
23,2,22,4,213
24,2,17,4,208
25,2,15,4,206
26,2,15,6,207
