X,Y,R,G,B
0,0,49,4,215
1,0,52,1,222
2,0,48,0,227
3,0,45,2,224
4,0,47,255,223
5,0,47,255,219
6,0,46,255,224
7,0,50,253,230
8,0,43,254,224
9,0,49,254,227
10,0,45,255,224
11,0,45,254,222
12,0,45,0,225
13,0,43,0,223
14,0,45,0,227
15,0,41,1,224
16,0,46,254,224
17,0,45,253,229
18,0,45,253,228
19,0,42,254,228
20,0,44,250,233
21,0,41,252,226
22,0,44,251,227
23,0,41,253,227
24,0,37,251,227
25,0,31,250,227
26,0,38,249,234
27,0,38,252,230
28,0,36,253,231
29,0,35,254,230
30,0,39,252,232
31,0,37,251,234
32,0,43,252,238
33,0,36,249,238
34,0,41,249,241
35,0,34,248,237
36,0,32,247,238
37,0,35,250,238
38,0,33,252,235
39,0,39,249,239
40,0,32,249,237
41,0,29,246,238
42,0,29,248,236
43,0,21,249,233
44,0,29,250,235
45,0,31,249,239
46,0,24,250,239
47,0,24,249,229
48,0,21,248,233
49,0,20,252,230
50,0,25,247,232
51,0,21,253,233
52,0,24,248,233
53,0,20,248,235
54,0,21,247,232
55,0,13,249,229
56,0,18,248,232
57,0,17,248,230
58,0,17,248,234
59,0,20,249,235
60,0,19,250,235
61,0,19,250,236
62,0,21,251,241
63,0,19,0,234
64,0,19,255,235
65,0,18,254,231
66,0,16,253,237
67,0,19,252,238
68,0,15,254,237
69,0,14,0,234
70,0,19,1,236
71,0,11,1,232
72,0,12,3,231
73,0,17,1,234
74,0,12,0,234
75,0,13,4,236
76,0,15,2,233
77,0,14,4,234
78,0,14,3,235
79,0,10,1,234
80,0,14,6,232
81,0,10,7,230
82,0,8,5,226
83,0,15,5,235
84,0,12,6,237
85,0,13,5,235
86,0,13,2,234
87,0,14,3,238
88,0,12,4,234
89,0,8,5,232
90,0,9,8,237
91,0,9,4,235
92,0,5,4,236
93,0,5,7,231
94,0,2,7,236
95,0,5,4,240
96,0,4,2,238
97,0,4,5,234
98,0,4,7,237
99,0,2,5,235
100,0,4,5,235
101,0,2,4,236
102,0,5,4,238
103,0,6,3,238
104,0,2,0,236
105,0,254,0,237
106,0,255,3,239
107,0,4,3,242
108,0,1,6,244
109,0,0,2,240
110,0,2,3,241
111,0,0,3,240
112,0,2,2,240
113,0,253,4,242
114,0,254,1,239
115,0,245,4,240
116,0,251,4,245
117,0,249,2,244
118,0,250,1,245
119,0,252,1,248
0,1,51,4,218
1,1,50,2,221
2,1,48,0,221
3,1,49,1,221
4,1,49,254,224
5,1,49,0,222
6,1,50,254,224
7,1,51,255,225
8,1,47,254,226
9,1,49,0,228
10,1,43,254,226
11,1,48,254,225
