X,Y,R,G,B
0,0,51,6,215
1,0,48,3,219
2,0,48,1,217
3,0,46,5,217
4,0,44,3,218
5,0,41,2,215
6,0,45,2,217
7,0,42,2,218
8,0,41,3,219
9,0,48,2,221
10,0,45,2,217
11,0,43,2,216
12,0,39,1,217
13,0,35,0,219
14,0,45,255,219
15,0,39,0,215
16,0,41,2,215
17,0,45,253,221
18,0,36,0,222
19,0,37,2,217
20,0,37,253,223
21,0,39,253,220
22,0,36,2,218
23,0,33,4,217
24,0,34,2,216
25,0,33,254,221
26,0,24,252,223
27,0,29,0,217
28,0,30,0,216
29,0,30,0,219
30,0,31,0,218
31,0,28,254,220
32,0,32,255,223
33,0,26,255,222
34,0,34,252,227
35,0,27,253,222
36,0,27,253,224
37,0,25,254,225
38,0,25,0,221
39,0,30,0,222
40,0,21,254,223
41,0,26,253,226
42,0,26,255,222
43,0,21,1,218
44,0,27,255,224
45,0,29,253,225
46,0,18,1,224
47,0,26,255,220
48,0,29,253,228
49,0,28,253,229
50,0,22,254,224
51,0,27,1,224
52,0,20,254,221
53,0,24,255,224
54,0,21,255,223
55,0,19,255,220
56,0,12,255,220
57,0,22,252,222
58,0,18,252,221
59,0,20,254,226
60,0,18,254,225
61,0,18,1,221
62,0,21,2,228
63,0,22,4,228
64,0,25,2,226
65,0,16,2,225
66,0,16,1,229
67,0,22,255,231
68,0,20,3,228
69,0,12,6,225
70,0,17,5,230
71,0,19,4,226
72,0,16,6,226
73,0,17,5,227
74,0,12,5,228
75,0,17,6,228
76,0,19,5,228
77,0,18,8,229
78,0,15,7,225
79,0,17,6,229
80,0,18,8,226
81,0,20,9,225
82,0,16,7,223
83,0,15,7,228
84,0,15,9,229
85,0,16,8,231
86,0,13,8,226
87,0,11,7,230
88,0,14,7,231
89,0,10,8,227
90,0,13,10,231
91,0,8,8,226
92,0,10,9,228
93,0,11,10,227
94,0,8,7,229
95,0,6,7,232
96,0,4,5,232
97,0,5,8,229
98,0,4,8,231
99,0,8,6,230
100,0,5,7,231
101,0,3,8,229
102,0,5,6,237
103,0,4,3,235
104,0,252,3,232
105,0,0,0,236
106,0,255,6,232
107,0,5,5,235
108,0,255,5,240
109,0,251,4,235
110,0,3,4,233
111,0,255,5,235
112,0,249,5,234
113,0,251,5,236
114,0,255,3,237
115,0,248,5,230
116,0,254,4,241
117,0,252,3,240
118,0,251,1,241
119,0,245,4,237
0,1,51,6,213
1,1,49,4,216
2,1,48,4,216
3,1,48,4,217
4,1,49,2,221
5,1,46,3,219
6,1,47,2,220
7,1,48,3,218
8,1,43,3,218
