X,Y,R,G,B
0,0,52,4,231
1,0,48,5,233
2,0,49,4,237
3,0,43,6,237
4,0,42,4,237
5,0,42,4,233
6,0,44,6,233
7,0,46,1,242
8,0,42,4,232
9,0,50,0,236
10,0,45,2,231
11,0,45,0,233
12,0,46,1,237
13,0,39,1,237
14,0,44,2,237
15,0,38,2,234
16,0,40,3,233
17,0,44,254,238
18,0,41,0,240
19,0,38,1,238
20,0,40,0,237
21,0,37,0,233
22,0,38,3,238
23,0,38,3,234
24,0,37,3,237
25,0,34,0,237
26,0,34,254,243
27,0,33,4,237
28,0,31,3,239
29,0,34,1,237
30,0,34,1,238
31,0,30,0,236
32,0,32,1,238
33,0,32,1,239
34,0,36,1,241
35,0,32,0,240
36,0,27,2,239
37,0,28,2,240
38,0,28,5,237
39,0,33,3,241
40,0,29,2,240
41,0,30,255,246
42,0,29,2,238
43,0,24,4,232
44,0,28,2,239
45,0,27,4,240
46,0,26,1,241
47,0,22,3,235
48,0,28,1,237
49,0,25,4,240
50,0,25,2,239
51,0,24,5,239
52,0,29,255,241
53,0,23,1,236
54,0,21,2,235
55,0,17,3,234
56,0,19,0,237
57,0,19,2,233
58,0,17,2,238
59,0,24,1,243
60,0,22,4,241
61,0,26,3,242
62,0,26,6,245
63,0,24,6,241
64,0,20,6,241
65,0,22,6,239
66,0,27,2,246
67,0,23,2,243
68,0,24,5,243
69,0,26,7,242
70,0,27,8,240
71,0,17,7,240
72,0,17,9,239
73,0,21,7,241
74,0,24,9,243
75,0,14,9,239
76,0,22,7,242
77,0,21,8,243
78,0,22,7,243
79,0,20,5,246
80,0,18,8,238
81,0,20,10,240
82,0,18,9,238
83,0,15,9,243
84,0,19,7,243
85,0,15,9,243
86,0,13,9,242
87,0,19,5,245
88,0,15,8,245
89,0,14,5,248
90,0,15,9,245
91,0,14,7,244
92,0,16,6,247
93,0,11,7,244
94,0,13,7,244
95,0,6,6,253
96,0,11,2,244
97,0,11,4,245
98,0,12,5,245
99,0,7,6,243
100,0,8,4,243
101,0,1,5,245
102,0,2,1,250
103,0,10,255,250
104,0,5,1,247
105,0,3,2,250
106,0,2,3,251
107,0,3,5,248
108,0,2,4,252
109,0,2,1,253
110,0,2,0,253
111,0,0,0,250
112,0,1,0,252
113,0,0,2,254
114,0,1,0,253
115,0,252,2,253
116,0,6,0,4
117,0,2,1,255
118,0,248,255,0
119,0,251,1,255
0,1,50,5,231
1,1,46,4,234
2,1,51,2,237
3,1,46,5,236
4,1,44,5,237
5,1,45,5,237
6,1,48,2,240
7,1,47,0,236
8,1,48,1,235
9,1,48,3,235
10,1,44,1,234
11,1,46,2,235
12,1,45,2,238
13,1,43,1,232
14,1,39,0,237
15,1,42,2,235
16,1,45,1,233
17,1,40,3,236
18,1,42,1,235
19,1,40,1,237
20,1,39,2,236
21,1,41,2,237
22,1,40,3,236
23,1,41,1,234
24,1,39,2,237
25,1,33,2,237
26,1,36,1,240
27,1,31,4,236
28,1,31,3,238
29,1,31,2,238
30,1,29,3,238
31,1,31,2,237
32,1,34,0,239
33,1,32,1,238
34,1,28,1,236
