X,Y,R,G,B
0,0,60,8,217
1,0,53,6,221
2,0,55,6,220
3,0,48,9,224
4,0,51,5,226
5,0,46,9,216
6,0,48,5,225
7,0,47,3,223
8,0,43,8,217
9,0,56,4,223
10,0,47,6,221
11,0,47,4,215
12,0,42,8,217
13,0,40,4,219
14,0,44,6,217
15,0,37,7,215
16,0,42,7,215
17,0,49,4,221
18,0,43,5,223
19,0,42,5,221
20,0,45,4,224
21,0,41,3,218
22,0,38,7,220
23,0,39,8,217
24,0,38,7,221
25,0,40,3,224
26,0,35,4,224
27,0,36,10,217
28,0,32,7,219
29,0,34,8,218
30,0,34,4,218
31,0,32,4,222
32,0,33,5,224
33,0,34,5,223
34,0,34,2,226
35,0,33,4,223
36,0,32,5,223
37,0,35,5,226
38,0,34,6,222
39,0,35,6,224
40,0,33,7,223
41,0,33,5,227
42,0,29,5,225
43,0,29,7,216
44,0,27,5,227
45,0,32,5,230
46,0,29,5,228
47,0,30,6,220
48,0,30,4,223
49,0,32,9,224
50,0,27,5,227
51,0,34,7,229
52,0,31,2,225
53,0,27,4,225
54,0,28,3,225
55,0,21,3,220
56,0,20,7,218
57,0,21,4,220
58,0,21,2,226
59,0,19,2,224
60,0,26,1,225
61,0,24,2,222
62,0,27,5,230
63,0,33,9,228
64,0,34,7,230
65,0,30,6,227
66,0,33,4,231
67,0,30,4,233
68,0,29,8,233
69,0,22,10,224
70,0,31,10,228
71,0,25,7,227
72,0,29,7,229
73,0,20,8,228
74,0,19,11,228
75,0,23,10,228
76,0,25,8,231
77,0,23,9,229
78,0,27,8,231
79,0,25,7,232
80,0,26,9,228
81,0,22,10,229
82,0,22,9,225
83,0,21,8,224
84,0,28,8,231
85,0,24,8,232
86,0,29,7,230
87,0,21,6,231
88,0,19,7,231
89,0,15,8,229
90,0,21,9,234
91,0,19,6,231
92,0,16,6,228
93,0,16,8,227
94,0,13,6,230
95,0,11,5,233
96,0,12,4,234
97,0,12,5,233
98,0,13,6,233
99,0,9,6,232
100,0,14,5,234
101,0,11,2,233
102,0,13,3,236
103,0,10,2,235
104,0,8,255,233
105,0,9,1,238
106,0,9,3,236
107,0,8,4,238
108,0,8,4,241
109,0,1,4,237
110,0,7,2,238
111,0,9,2,236
112,0,0,2,233
113,0,253,2,240
114,0,4,254,239
115,0,252,4,235
116,0,7,2,244
117,0,8,1,244
