X,Y,R,G,B
0,0,46,5,225
1,0,48,4,226
2,0,47,3,225
3,0,43,5,228
4,0,41,3,225
5,0,40,3,224
6,0,45,2,227
7,0,44,2,228
8,0,40,3,229
9,0,48,2,225
10,0,42,1,221
11,0,43,0,224
12,0,38,3,225
13,0,34,1,222
14,0,43,0,227
15,0,34,3,224
16,0,39,4,221
17,0,42,0,228
18,0,43,0,232
19,0,38,255,229
20,0,36,254,231
21,0,44,255,226
22,0,41,0,229
23,0,33,3,226
24,0,31,3,228
25,0,34,254,232
26,0,31,252,238
27,0,30,1,228
28,0,31,255,230
29,0,28,1,227
30,0,31,0,227
31,0,32,253,230
32,0,33,255,235
33,0,31,253,233
34,0,31,252,238
35,0,28,253,232
36,0,27,254,234
37,0,27,253,235
38,0,31,255,230
39,0,34,254,234
40,0,27,255,231
41,0,26,254,232
42,0,24,0,231
43,0,22,0,226
44,0,25,255,228
45,0,31,253,237
46,0,25,254,235
47,0,25,254,229
48,0,25,255,232
49,0,22,1,233
50,0,24,251,234
51,0,25,255,231
52,0,24,250,230
53,0,22,253,232
54,0,23,253,234
55,0,16,255,229
56,0,17,254,231
57,0,19,253,227
58,0,17,252,230
59,0,17,253,229
60,0,19,254,234
61,0,17,253,235
62,0,20,255,237
63,0,24,3,235
64,0,27,3,236
65,0,22,1,235
66,0,25,253,240
67,0,26,253,241
68,0,24,2,237
69,0,19,5,235
70,0,18,5,235
71,0,21,4,236
72,0,21,4,234
73,0,21,3,233
74,0,14,7,234
75,0,20,6,238
76,0,18,5,236
77,0,15,5,235
78,0,19,6,233
79,0,20,3,239
80,0,16,6,233
81,0,14,7,232
82,0,11,4,232
83,0,16,6,238
84,0,19,7,236
85,0,19,6,239
86,0,12,7,235
87,0,11,5,237
88,0,16,6,237
89,0,13,6,235
90,0,11,10,236
91,0,12,3,237
92,0,8,5,241
93,0,8,8,235
94,0,12,2,238
95,0,7,6,241
96,0,7,4,239
97,0,1,6,239
98,0,11,4,241
99,0,6,5,240
100,0,10,4,240
101,0,5,5,236
102,0,5,5,242
103,0,5,3,242
104,0,5,1,243
105,0,2,1,244
106,0,253,6,243
107,0,255,4,240
108,0,1,5,247
109,0,0,3,244
110,0,0,5,243
111,0,5,1,246
112,0,1,1,247
113,0,250,4,243
114,0,255,1,244
115,0,249,3,244
116,0,255,2,250
117,0,0,255,251
118,0,248,2,246
119,0,252,3,246
0,1,53,4,226
1,1,49,4,224
2,1,48,2,224
3,1,46,4,227
4,1,46,3,228
5,1,43,3,229
6,1,46,2,229
7,1,48,2,229
8,1,38,4,225
9,1,47,3,226
10,1,40,2,224
11,1,41,2,229
12,1,39,2,225
13,1,41,255,224
14,1,40,255,226
15,1,39,0,229
16,1,42,1,224
17,1,40,2,227
18,1,39,1,228
19,1,36,0,228
20,1,35,0,229
21,1,38,0,227
22,1,41,1,230
23,1,34,255,226
24,1,35,2,228
25,1,29,254,229
26,1,32,254,230
27,1,29,0,227
28,1,32,0,230
29,1,30,254,230
30,1,26,0,226
31,1,31,255,232
32,1,31,254,232
33,1,29,254,230
34,1,28,255,233
35,1,26,1,228
36,1,29,255,231
37,1,27,254,232
38,1,29,255,232
39,1,26,0,233
40,1,24,255,231
41,1,24,254,231
42,1,26,254,230
43,1,28,254,231
44,1,26,253,232
45,1,25,254,232
46,1,22,253,231
47,1,26,0,230
48,1,25,255,232
49,1,25,253,233
50,1,21,253,231
51,1,23,255,230
52,1,25,253,231
53,1,18,253,234
54,1,20,251,232
55,1,18,252,230
56,1,19,252,229
57,1,19,251,231
58,1,18,252,228
59,1,16,254,230
60,1,17,254,232
61,1,22,254,233
62,1,18,1,231
63,1,24,0,235
64,1,24,0,235
65,1,19,1,233
66,1,25,255,240
67,1,23,1,236
68,1,21,2,235
69,1,19,1,236
70,1,20,2,235
71,1,20,2,234
72,1,20,4,237
73,1,20,2,235
74,1,15,3,234
75,1,19,3,235
76,1,19,6,236
77,1,18,5,237
78,1,18,4,236
79,1,21,3,240
80,1,17,8,233
81,1,18,5,238
82,1,13,6,236
83,1,14,5,238
84,1,16,6,238
85,1,16,5,237
86,1,14,5,236
87,1,11,8,236
88,1,15,4,240
89,1,14,7,240
90,1,10,8,238
91,1,11,5,237
92,1,13,5,241
93,1,11,6,236
94,1,11,5,240
95,1,10,5,242
96,1,10,4,240
97,1,4,2,241
98,1,11,5,241
99,1,4,4,239
100,1,7,5,240
101,1,6,6,240
102,1,0,4,237
103,1,4,3,241
104,1,2,1,242
105,1,4,1,243
106,1,2,3,246
107,1,4,3,242
108,1,1,2,245
109,1,0,2,244
110,1,1,2,244
111,1,255,2,245
112,1,254,2,245
113,1,253,2,246
114,1,0,1,243
115,1,252,3,249
116,1,254,3,249
117,1,0,0,251
118,1,251,0,245
119,1,251,2,242
0,2,53,7,226
1,2,48,6,220
2,2,50,2,223
3,2,48,4,225
4,2,48,3,225
5,2,46,3,224
6,2,44,4,225
7,2,48,3,228
8,2,44,2,229
9,2,47,0,227
10,2,45,1,228
11,2,37,0,228
12,2,34,1,227
13,2,43,0,228
14,2,42,1,228
15,2,40,1,229
16,2,40,3,227
17,2,42,255,231
18,2,34,1,229
19,2,40,0,230
20,2,34,255,227
21,2,37,255,227
22,2,40,0,230
23,2,39,255,229
24,2,35,0,228
25,2,33,254,229
26,2,33,254,230
27,2,30,254,228
28,2,32,254,227
29,2,34,254,231
30,2,28,255,230
31,2,28,0,226
32,2,27,0,228
33,2,24,0,229
34,2,29,254,232
35,2,27,1,232
36,2,32,255,231
37,2,27,0,232
38,2,27,0,232
39,2,28,0,230
40,2,26,254,232
41,2,28,254,233
42,2,27,254,235
43,2,28,254,231
44,2,29,255,235
45,2,27,255,233
46,2,23,254,235
47,2,23,1,232
48,2,26,254,231
49,2,23,254,230
50,2,22,254,229
51,2,26,254,230
52,2,22,253,230
53,2,21,253,235
54,2,19,252,234
55,2,16,253,230
56,2,21,250,232
57,2,15,252,233
58,2,17,252,229
59,2,18,254,231
60,2,22,254,237
61,2,25,0,234
62,2,22,1,235
63,2,21,1,235
64,2,21,3,234
65,2,23,2,234
66,2,24,1,237
67,2,22,1,235
68,2,21,255,236
69,2,19,0,238
70,2,22,1,234
71,2,19,3,237
72,2,19,2,237
73,2,20,4,236
74,2,17,3,236
75,2,21,2,237
76,2,18,4,236
77,2,17,5,237
78,2,20,3,239
79,2,19,5,238
80,2,15,6,235
81,2,18,6,237
82,2,12,4,235
83,2,13,5,238
84,2,13,6,239
85,2,13,4,237
86,2,13,5,240
87,2,14,6,236
88,2,13,6,239
89,2,13,5,240
90,2,11,6,238
91,2,9,6,237
92,2,9,4,239
93,2,14,6,237
94,2,12,6,243
95,2,8,5,241
96,2,9,5,243
97,2,10,3,241
98,2,7,6,238
99,2,5,4,241
100,2,6,3,243
101,2,4,2,238
102,2,2,6,238
103,2,3,1,242
104,2,0,2,242
105,2,0,3,242
106,2,6,2,245
107,2,3,4,242
108,2,254,4,242
109,2,0,255,245
110,2,2,1,246
111,2,253,4,242
112,2,255,2,247
113,2,252,3,243
114,2,0,3,246
115,2,251,2,249
116,2,3,0,249
117,2,254,2,249
118,2,251,255,245
119,2,0,255,250
0,3,54,7,228
1,3,57,7,223
2,3,52,5,223
3,3,49,2,223
4,3,49,5,224
5,3,47,5,222
6,3,43,6,223
7,3,46,1,228
8,3,43,1,226
9,3,45,4,225
10,3,43,1,226
11,3,39,1,226
12,3,38,255,225
13,3,42,255,227
14,3,41,0,229
15,3,41,1,226
16,3,39,2,228
17,3,43,254,229
18,3,37,255,229
19,3,39,0,228
20,3,38,254,230
21,3,36,254,226
22,3,38,253,230
23,3,37,254,229
24,3,35,254,229
25,3,35,255,229
26,3,28,254,228
27,3,32,255,226
28,3,33,254,227
29,3,32,254,230
30,3,31,254,232
31,3,29,255,228
32,3,28,254,228
33,3,28,0,232
34,3,32,0,228
35,3,29,0,233
36,3,33,255,232
37,3,29,255,230
38,3,26,255,233
39,3,29,254,229
40,3,28,252,232
41,3,27,254,228
42,3,28,251,234
43,3,30,254,234
44,3,27,254,233
45,3,27,255,236
46,3,25,254,239
47,3,26,254,235
48,3,23,253,233
49,3,22,253,233
50,3,23,253,231
51,3,25,253,229
52,3,24,253,234
53,3,24,252,234
54,3,18,251,229
55,3,17,252,231
56,3,18,251,231
57,3,13,254,229
58,3,19,253,232
59,3,21,255,236
60,3,23,255,236
61,3,22,0,236
62,3,26,255,235
63,3,19,1,235
64,3,21,255,234
65,3,22,2,236
66,3,21,254,234
67,3,23,1,236
68,3,22,0,239
69,3,18,1,237
70,3,23,1,235
71,3,17,1,238
72,3,23,2,238
73,3,18,3,237
74,3,19,4,237
75,3,23,4,240
76,3,17,4,238
77,3,19,7,235
78,3,19,3,238
79,3,16,3,236
80,3,17,6,236
81,3,17,6,237
82,3,11,6,237
83,3,13,5,237
84,3,12,5,237
85,3,14,4,239
86,3,14,4,237
87,3,12,4,238
88,3,13,6,241
89,3,12,4,240
90,3,13,3,240
91,3,12,7,239
92,3,8,6,239
93,3,13,4,238
94,3,9,5,239
95,3,11,7,244
96,3,4,7,242
97,3,8,4,237
98,3,10,6,236
99,3,7,6,242
100,3,4,5,241
101,3,4,2,238
102,3,3,4,240
103,3,8,3,242
104,3,3,5,245
105,3,2,4,243
106,3,1,3,241
107,3,5,4,246
108,3,255,4,241
109,3,254,4,246
110,3,2,2,243
111,3,3,3,244
112,3,1,1,248
113,3,255,2,243
114,3,252,2,247
115,3,255,1,247
116,3,1,255,247
117,3,253,0,248
118,3,254,255,248
119,3,254,255,250
0,4,53,6,227
1,4,56,6,225
2,4,56,7,225
3,4,48,5,226
4,4,47,6,223
5,4,49,5,225
6,4,45,5,221
7,4,47,2,224
8,4,46,2,225
9,4,42,2,228
10,4,44,2,230
11,4,45,0,230
12,4,42,2,229
13,4,43,0,227
14,4,45,0,229
15,4,41,2,228
16,4,41,0,228
17,4,37,1,231
18,4,37,255,230
19,4,40,255,230
20,4,40,255,228
21,4,38,1,229
22,4,35,0,230
23,4,33,254,229
24,4,32,253,228
25,4,35,253,229
26,4,31,254,228
27,4,34,255,225
28,4,36,255,228
29,4,30,254,229
30,4,32,254,227
31,4,31,253,233
32,4,32,255,228
33,4,29,255,232
34,4,33,0,230
35,4,29,1,233
36,4,29,255,232
37,4,23,254,230
38,4,27,253,232
39,4,24,0,229
40,4,31,251,233
41,4,28,255,230
42,4,28,253,231
43,4,32,251,237
44,4,28,254,236
45,4,26,253,236
46,4,27,252,235
47,4,25,252,235
48,4,25,253,231
49,4,22,254,232
50,4,24,253,234
51,4,23,252,228
52,4,23,251,235
53,4,25,254,230
54,4,20,254,232
55,4,20,253,234
56,4,18,253,228
57,4,21,254,234
58,4,26,254,235
59,4,19,254,236
60,4,25,1,233
61,4,18,0,236
62,4,25,1,237
63,4,18,255,238
64,4,24,254,236
65,4,23,2,236
66,4,23,0,235
67,4,21,1,236
68,4,18,3,237
69,4,18,3,237
70,4,20,2,234
71,4,20,1,235
72,4,23,1,240
73,4,17,3,239
74,4,18,3,238
75,4,18,2,239
76,4,19,4,242
77,4,14,4,238
78,4,20,3,239
79,4,12,7,237
80,4,14,6,236
81,4,19,4,236
