X,Y,R,G,B
0,0,56,3,237
1,0,55,5,237
2,0,53,3,235
3,0,51,6,238
4,0,50,4,235
5,0,46,4,237
6,0,50,4,233
7,0,51,1,239
8,0,52,3,237
9,0,53,2,234
10,0,51,3,234
11,0,48,0,231
12,0,47,3,234
13,0,47,0,234
14,0,47,4,232
15,0,41,3,231
16,0,45,2,233
17,0,48,0,233
18,0,47,0,239
19,0,42,2,236
20,0,48,0,242
21,0,39,2,233
22,0,47,1,242
23,0,38,5,232
24,0,43,3,236
25,0,40,0,239
26,0,45,1,242
27,0,46,1,240
28,0,44,1,242
29,0,39,3,237
30,0,37,0,236
31,0,41,0,239
32,0,43,2,241
33,0,39,1,240
34,0,41,255,240
35,0,43,1,241
36,0,37,255,241
37,0,39,255,240
38,0,37,5,237
39,0,43,1,240
40,0,35,2,238
41,0,39,0,242
42,0,37,0,237
43,0,32,2,237
44,0,36,3,238
45,0,38,1,242
46,0,34,2,239
47,0,33,3,237
48,0,36,1,238
49,0,37,3,241
50,0,37,254,244
51,0,38,1,241
52,0,38,254,241
53,0,26,2,238
54,0,37,253,239
55,0,25,1,235
56,0,30,254,238
57,0,31,255,237
58,0,32,253,239
59,0,20,1,240
60,0,28,2,241
61,0,30,0,239
62,0,32,3,247
63,0,39,5,243
64,0,35,3,243
65,0,31,6,237
66,0,38,2,246
67,0,31,0,247
68,0,28,4,242
69,0,23,6,240
70,0,31,4,246
71,0,29,4,240
72,0,28,4,242
73,0,27,5,240
74,0,27,6,243
75,0,23,4,246
76,0,24,4,244
77,0,28,6,244
78,0,29,2,246
79,0,33,1,248
80,0,31,4,242
81,0,27,8,241
82,0,21,5,240
83,0,31,2,245
84,0,28,5,246
85,0,29,5,246
86,0,26,3,245
87,0,25,3,244
88,0,28,2,248
89,0,26,2,244
90,0,25,6,248
91,0,19,4,244
92,0,23,1,247
93,0,23,6,245
94,0,13,5,245
95,0,12,4,249
96,0,18,1,246
97,0,8,4,245
98,0,18,4,249
99,0,15,2,248
100,0,15,3,249
101,0,14,2,245
102,0,15,2,251
103,0,15,254,251
104,0,16,253,254
105,0,13,255,254
106,0,7,3,247
107,0,14,1,255
108,0,10,3,255
109,0,12,255,255
110,0,12,1,251
111,0,9,1,252
112,0,12,255,253
113,0,6,3,254
114,0,6,255,255
115,0,2,1,250
116,0,12,255,1
117,0,8,254,1
118,0,5,254,2
119,0,3,0,255
0,1,60,3,233
1,1,52,4,233
2,1,53,3,236
3,1,54,5,236
4,1,52,4,237
5,1,50,4,239
6,1,51,4,235
7,1,53,2,237
8,1,53,2,236
9,1,50,4,236
10,1,47,1,235
11,1,50,3,234
12,1,48,2,237
13,1,49,0,230
14,1,44,255,233
15,1,50,0,235
16,1,47,3,233
17,1,46,4,234
18,1,48,2,235
19,1,42,2,234
20,1,48,2,239
21,1,42,3,235
22,1,47,2,238
23,1,43,3,238
24,1,44,2,236
25,1,41,0,237
26,1,42,2,238
27,1,44,1,239
28,1,43,1,242
29,1,39,3,238
30,1,38,2,238
31,1,38,2,239
32,1,42,254,240
33,1,39,0,238
34,1,38,2,238
35,1,39,4,236
36,1,41,0,241
37,1,36,2,239
38,1,41,2,238
39,1,36,5,238
40,1,35,2,240
41,1,37,1,240
42,1,36,2,237
43,1,36,1,239
44,1,36,2,236
45,1,35,2,239
46,1,34,1,236
47,1,35,3,238
48,1,35,2,239
49,1,34,1,238
50,1,35,255,238
51,1,32,2,236
52,1,35,0,237
53,1,30,0,240
54,1,35,253,237
55,1,24,255,234
56,1,28,254,238
57,1,28,255,237
58,1,28,254,238
59,1,29,0,238
60,1,28,1,238
61,1,32,1,239
62,1,35,4,241
63,1,35,3,241
64,1,32,0,241
65,1,36,4,242
66,1,32,4,243
67,1,30,3,241
68,1,33,3,244
69,1,28,3,242
70,1,27,4,241
71,1,30,3,241
72,1,26,5,242
73,1,28,3,241
74,1,26,4,243
75,1,25,4,243
76,1,25,5,245
77,1,29,3,243
78,1,30,1,246
79,1,30,3,246
80,1,27,5,243
81,1,28,4,243
