X,Y,R,G,B
0,0,50,7,219
1,0,44,5,217
2,0,51,3,217
3,0,42,7,216
4,0,41,3,217
5,0,43,6,214
6,0,42,3,220
7,0,41,4,223
8,0,43,4,221
9,0,47,1,221
10,0,43,2,220
11,0,42,2,214
12,0,42,2,219
13,0,38,1,215
14,0,41,2,218
15,0,35,2,215
16,0,39,3,212
17,0,45,0,221
18,0,42,1,221
19,0,38,1,218
20,0,40,255,223
21,0,36,0,220
22,0,38,2,221
23,0,37,3,216
24,0,34,2,218
25,0,31,0,217
26,0,29,255,223
27,0,37,0,224
28,0,30,255,221
29,0,31,254,220
30,0,32,254,220
31,0,30,254,221
32,0,28,0,219
33,0,27,254,225
34,0,33,251,228
35,0,25,1,223
36,0,26,253,225
37,0,30,254,225
38,0,26,1,219
39,0,33,253,223
40,0,28,254,222
41,0,25,253,224
42,0,24,254,224
43,0,27,254,220
44,0,26,254,223
45,0,26,255,226
46,0,25,254,228
47,0,25,253,222
48,0,30,252,224
49,0,25,0,227
50,0,23,255,224
51,0,24,254,229
52,0,24,252,223
53,0,22,251,225
54,0,22,254,224
55,0,14,253,224
56,0,19,253,223
57,0,15,254,219
58,0,17,252,222
59,0,17,254,222
60,0,15,252,225
61,0,14,253,221
62,0,18,254,228
63,0,19,2,227
64,0,25,1,224
65,0,26,1,228
66,0,20,254,232
67,0,17,255,233
68,0,19,4,228
69,0,15,6,227
70,0,19,4,232
71,0,19,4,227
72,0,18,5,228
73,0,16,5,228
74,0,15,6,229
75,0,15,4,228
76,0,15,6,227
77,0,13,8,228
78,0,18,7,227
79,0,23,4,229
80,0,14,9,226
81,0,16,8,229
82,0,12,7,226
83,0,15,6,231
84,0,19,8,230
85,0,13,7,229
86,0,12,6,226
87,0,12,6,230
88,0,9,10,226
89,0,8,8,229
90,0,12,8,230
91,0,9,7,229
92,0,8,8,228
93,0,9,8,227
94,0,7,5,231
95,0,7,7,236
96,0,7,4,235
97,0,0,8,229
98,0,5,7,232
99,0,5,5,232
100,0,3,7,231
101,0,4,5,228
102,0,5,8,234
103,0,8,2,236
104,0,1,5,232
105,0,1,1,237
106,0,3,5,237
107,0,5,5,240
108,0,254,5,237
109,0,254,5,234
110,0,3,4,236
111,0,254,5,235
112,0,253,3,237
113,0,248,5,237
114,0,252,2,237
115,0,251,3,237
116,0,248,5,241
117,0,254,3,239
118,0,249,0,241
119,0,253,3,241
0,1,51,6,216
1,1,46,6,215
2,1,49,3,217
3,1,44,5,219
4,1,46,4,219
5,1,46,5,217
6,1,45,4,219
7,1,44,4,219
8,1,43,4,216
9,1,45,2,220
10,1,41,2,221
11,1,41,3,216
12,1,43,1,220
13,1,40,1,214
14,1,40,0,218
15,1,37,2,218
16,1,43,3,214
17,1,39,3,219
18,1,41,2,215
19,1,38,1,221
20,1,36,1,217
21,1,36,2,218
22,1,41,1,221
23,1,37,0,219
24,1,36,1,219
25,1,29,0,219
26,1,32,255,221
27,1,33,255,221
28,1,31,255,224
29,1,27,254,221
30,1,27,1,222
31,1,30,254,224
32,1,29,0,223
33,1,29,255,224
34,1,28,255,223
35,1,27,1,219
36,1,30,253,225
37,1,28,255,223
38,1,26,0,221
39,1,27,0,222
40,1,24,254,222
41,1,23,254,223
42,1,31,254,222
43,1,26,253,224
44,1,25,252,224
45,1,25,254,226
46,1,21,254,223
47,1,23,255,222
48,1,26,254,226
49,1,21,0,222
50,1,22,254,223
51,1,22,254,226
52,1,26,253,223
53,1,20,253,226
54,1,21,253,223
55,1,18,252,221
56,1,17,252,222
57,1,18,252,219
58,1,18,250,221
59,1,16,255,221
60,1,13,252,221
61,1,15,255,217
62,1,18,255,223
63,1,20,255,225
64,1,20,1,225
65,1,21,1,227
66,1,21,1,232
67,1,17,1,228
68,1,18,3,228
69,1,20,2,228
70,1,16,4,228
71,1,20,3,229
72,1,16,3,229
73,1,16,4,226
74,1,14,4,227
75,1,15,5,226
76,1,17,6,228
77,1,12,6,227
78,1,18,5,228
79,1,18,6,228
80,1,14,7,228
81,1,16,6,230
82,1,15,7,228
83,1,11,5,231
84,1,15,8,229
85,1,11,7,229
86,1,13,6,230
87,1,13,11,232
88,1,10,8,228
89,1,9,7,230
90,1,12,8,229
91,1,8,7,229
92,1,7,8,230
93,1,9,9,230
94,1,8,8,233
95,1,8,8,234
96,1,9,4,234
97,1,1,7,229
98,1,7,7,231
99,1,4,6,230
100,1,5,6,233
101,1,8,6,236
102,1,1,7,230
103,1,6,3,235
104,1,2,5,235
105,1,2,1,234
106,1,2,4,236
107,1,1,5,236
108,1,255,4,237
109,1,253,5,234
110,1,1,2,234
111,1,252,4,235
112,1,255,4,238
113,1,251,2,239
114,1,254,3,237
115,1,253,2,239
116,1,254,5,239
117,1,252,3,240
118,1,250,1,240
119,1,250,2,237
0,2,48,9,212
1,2,46,7,214
2,2,46,5,215
3,2,46,5,216
4,2,49,4,217
5,2,45,3,216
6,2,44,5,218
7,2,46,5,219
8,2,45,6,218
9,2,45,2,220
10,2,42,1,220
11,2,38,3,221
12,2,39,1,220
13,2,41,1,218
14,2,40,3,218
15,2,43,4,220
16,2,41,3,218
17,2,39,0,217
18,2,37,3,217
19,2,40,0,222
20,2,35,1,219
21,2,38,255,219
22,2,40,1,220
23,2,38,0,223
24,2,33,1,219
25,2,31,255,220
26,2,35,255,220
27,2,33,255,220
28,2,33,255,220
29,2,32,255,221
30,2,32,1,222
31,2,31,255,219
32,2,25,255,219
33,2,27,0,220
34,2,27,0,220
35,2,27,1,224
36,2,32,255,223
37,2,26,255,224
38,2,28,254,223
39,2,25,255,220
40,2,28,252,226
41,2,30,255,222
42,2,31,253,225
43,2,25,253,223
44,2,26,254,226
45,2,25,254,226
46,2,22,254,225
47,2,24,1,223
48,2,27,253,226
49,2,23,0,221
50,2,23,253,223
51,2,25,252,225
52,2,22,253,220
53,2,23,253,224
54,2,20,253,224
55,2,19,252,222
56,2,18,250,221
57,2,15,252,223
58,2,17,251,223
59,2,17,253,221
60,2,20,253,226
61,2,19,1,224
62,2,20,254,226
63,2,18,1,228
64,2,20,2,226
65,2,19,1,226
66,2,20,4,228
67,2,20,2,230
68,2,17,1,227
69,2,19,1,228
70,2,18,3,228
71,2,21,3,232
72,2,14,3,230
73,2,18,6,226
74,2,17,2,226
75,2,17,4,229
76,2,17,5,228
77,2,16,4,230
78,2,17,4,230
79,2,17,6,233
80,2,16,5,230
81,2,15,5,231
82,2,13,6,229
83,2,10,7,230
84,2,13,7,230
85,2,13,6,228
86,2,12,7,232
87,2,13,7,230
88,2,10,8,232
89,2,9,8,229
90,2,12,7,232
91,2,6,7,231
92,2,7,6,232
93,2,11,8,231
94,2,11,6,235
95,2,5,7,234
96,2,9,6,236
97,2,7,6,229
98,2,7,8,230
99,2,6,4,236
100,2,6,5,233
101,2,7,2,233
102,2,0,8,229
103,2,255,4,235
104,2,2,2,234
105,2,255,4,232
106,2,3,4,235
107,2,2,4,237
108,2,1,4,235
109,2,253,5,235
110,2,255,4,235
111,2,252,5,235
112,2,254,2,239
113,2,252,3,236
114,2,253,4,238
115,2,249,4,238
116,2,2,1,240
117,2,255,2,240
118,2,253,255,238
119,2,252,3,240
0,3,49,10,217
1,3,49,7,213
2,3,50,5,214
3,3,46,5,217
4,3,48,5,218
5,3,45,4,214
6,3,47,5,218
7,3,46,4,218
8,3,46,3,219
9,3,43,5,217
10,3,42,2,221
11,3,40,255,219
12,3,40,2,216
13,3,42,1,219
14,3,40,3,218
15,3,41,0,218
16,3,38,1,219
17,3,43,0,217
18,3,34,2,218
19,3,41,1,219
20,3,41,0,218
21,3,39,255,218
22,3,36,0,218
23,3,39,253,222
24,3,32,0,220
25,3,31,1,218
26,3,32,0,219
27,3,34,0,216
28,3,35,254,221
29,3,30,254,223
30,3,28,254,220
31,3,26,255,218
32,3,26,254,216
33,3,29,1,221
34,3,30,255,218
35,3,31,0,224
36,3,30,255,220
37,3,27,255,224
38,3,25,255,224
39,3,26,254,222
40,3,28,251,223
41,3,30,255,220
42,3,26,252,221
43,3,27,254,223
44,3,26,251,226
45,3,24,255,222
46,3,24,252,227
47,3,24,255,225
48,3,24,253,226
49,3,22,253,223
50,3,22,253,221
51,3,26,253,224
52,3,21,254,223
53,3,21,252,223
54,3,19,252,222
55,3,17,252,223
56,3,20,249,223
57,3,12,252,223
58,3,18,251,223
59,3,18,255,226
60,3,17,254,226
61,3,21,255,227
62,3,18,0,225
63,3,22,1,228
64,3,21,255,229
65,3,18,3,227
66,3,21,0,228
67,3,19,2,229
68,3,16,2,227
69,3,19,2,229
70,3,22,3,229
71,3,19,2,232
72,3,18,2,232
