X,Y,R,G,B
0,0,72,3,235
1,0,70,3,237
2,0,70,255,239
3,0,59,6,232
4,0,60,3,233
5,0,58,4,230
6,0,65,2,236
7,0,62,1,239
8,0,61,3,234
9,0,67,1,232
10,0,64,1,235
11,0,61,2,232
12,0,64,0,237
13,0,60,255,234
14,0,58,0,236
15,0,55,1,233
16,0,59,3,231
17,0,64,255,238
18,0,62,255,240
19,0,53,2,237
20,0,57,0,238
21,0,53,0,236
22,0,62,0,240
23,0,51,2,234
24,0,56,3,237
25,0,54,255,238
26,0,51,255,242
27,0,48,1,236
28,0,50,0,237
29,0,46,3,235
30,0,49,0,237
31,0,51,254,241
32,0,52,0,238
33,0,49,254,239
34,0,52,254,240
35,0,47,255,243
36,0,49,253,242
37,0,52,254,243
38,0,50,1,237
39,0,54,255,240
40,0,49,255,243
41,0,54,252,246
42,0,50,255,239
43,0,43,0,237
44,0,52,255,242
45,0,50,252,245
46,0,45,254,244
47,0,46,254,240
48,0,49,253,242
49,0,49,0,242
50,0,46,254,239
51,0,50,0,242
52,0,51,250,242
53,0,50,250,243
54,0,47,251,240
55,0,42,254,237
56,0,41,251,240
57,0,42,249,241
58,0,45,248,241
59,0,40,248,242
60,0,44,247,245
61,0,38,247,241
62,0,39,250,246
63,0,47,252,241
64,0,45,251,242
65,0,47,253,244
66,0,48,249,249
67,0,47,250,248
68,0,42,254,246
69,0,41,254,246
70,0,41,1,245
71,0,45,253,244
72,0,40,1,244
73,0,43,0,244
74,0,42,255,245
75,0,35,1,247
76,0,39,255,245
77,0,43,255,249
78,0,45,252,247
79,0,39,254,244
80,0,46,255,243
81,0,44,0,244
82,0,37,255,241
83,0,42,255,245
84,0,48,254,249
85,0,45,255,247
86,0,41,255,247
87,0,41,252,252
88,0,42,252,250
89,0,39,255,245
90,0,38,1,251
91,0,35,254,247
92,0,31,255,245
93,0,34,0,246
94,0,32,252,246
95,0,31,254,253
96,0,30,252,252
97,0,30,255,247
98,0,35,253,252
99,0,31,253,249
100,0,29,254,248
101,0,28,254,248
102,0,32,253,253
103,0,31,249,255
104,0,24,252,250
105,0,27,252,0
106,0,29,251,253
107,0,26,255,254
108,0,27,252,4
109,0,24,254,255
110,0,24,253,254
111,0,21,255,252
112,0,26,252,1
113,0,19,254,0
114,0,24,252,254
115,0,21,252,0
116,0,20,252,3
117,0,20,251,3
118,0,16,251,2
119,0,21,252,5
0,1,71,3,235
1,1,68,2,234
2,1,69,0,235
3,1,66,2,234
4,1,68,1,235
5,1,65,4,236
6,1,64,2,239
7,1,65,1,239
8,1,63,1,237
9,1,69,1,238
10,1,59,2,235
11,1,64,2,237
12,1,61,0,235
13,1,62,255,235
14,1,60,255,236
15,1,59,0,236
16,1,62,1,233
17,1,62,1,236
18,1,60,1,235
19,1,56,0,237
20,1,56,3,235
21,1,56,0,237
22,1,61,2,238
23,1,58,0,235
24,1,59,255,237
25,1,52,1,237
26,1,50,1,240
27,1,49,3,237
28,1,52,1,239
29,1,49,2,237
30,1,47,1,239
31,1,51,255,240
32,1,52,252,241
33,1,50,254,240
34,1,49,255,239
35,1,49,0,235
36,1,50,254,240
37,1,50,255,240
38,1,50,255,239
39,1,49,1,239
40,1,47,255,242
41,1,53,253,245
42,1,51,0,240
43,1,48,255,239
44,1,50,253,241
45,1,48,254,241
46,1,47,252,239
47,1,45,254,239
48,1,49,254,240
49,1,48,255,241
50,1,48,252,240
