X,Y,R,G,B
0,0,51,4,229
1,0,51,0,237
2,0,51,254,234
3,0,49,2,235
4,0,47,0,236
5,0,47,255,236
6,0,44,3,233
7,0,46,254,243
8,0,44,1,233
9,0,49,0,236
10,0,47,255,236
11,0,45,253,233
12,0,48,255,235
13,0,40,254,233
14,0,43,254,234
15,0,40,2,229
16,0,45,254,235
17,0,44,255,236
18,0,39,254,242
19,0,38,254,239
20,0,37,254,235
21,0,37,254,232
22,0,40,254,237
23,0,41,254,236
24,0,38,0,235
25,0,39,251,238
26,0,33,253,236
27,0,30,2,234
28,0,37,254,235
29,0,33,255,239
30,0,36,253,237
31,0,34,252,238
32,0,36,254,242
33,0,31,251,240
34,0,35,253,244
35,0,27,254,238
36,0,28,255,238
37,0,28,252,242
38,0,34,255,241
39,0,36,253,241
40,0,34,252,241
41,0,27,252,240
42,0,24,255,236
43,0,29,254,235
44,0,27,255,240
45,0,33,253,243
46,0,25,0,241
47,0,26,253,236
48,0,30,254,237
49,0,31,255,242
50,0,23,253,237
51,0,30,254,239
52,0,26,251,238
53,0,25,252,240
54,0,26,251,239
55,0,22,254,235
56,0,17,254,238
57,0,17,253,235
58,0,22,254,236
59,0,22,252,241
60,0,19,254,240
61,0,24,255,240
62,0,28,1,245
63,0,30,6,243
64,0,27,2,243
65,0,23,3,238
66,0,27,0,244
67,0,29,254,248
68,0,24,2,246
69,0,23,4,242
70,0,20,5,244
71,0,21,4,240
72,0,23,7,236
73,0,19,4,241
74,0,22,6,242
75,0,22,5,243
76,0,19,5,242
77,0,23,6,243
78,0,19,5,241
79,0,22,4,245
80,0,18,6,236
81,0,21,8,241
82,0,15,8,238
83,0,22,6,246
84,0,24,8,245
85,0,20,6,244
86,0,18,5,243
87,0,20,2,250
88,0,19,4,247
89,0,18,4,244
90,0,15,8,248
91,0,17,3,245
92,0,13,7,243
93,0,15,9,242
94,0,6,5,241
95,0,10,5,248
96,0,11,2,245
97,0,9,6,246
98,0,10,6,248
99,0,14,3,247
100,0,17,3,245
101,0,7,2,246
102,0,9,3,251
103,0,5,255,250
104,0,3,255,247
105,0,2,1,249
106,0,5,3,250
107,0,2,6,246
108,0,4,2,255
109,0,6,1,251
110,0,6,1,250
111,0,1,2,249
112,0,2,0,253
113,0,255,1,252
114,0,3,255,252
115,0,252,2,246
116,0,5,255,255
117,0,1,0,2
118,0,253,0,0
119,0,255,0,0
0,1,53,2,231
1,1,52,0,234
2,1,52,255,235
3,1,50,2,230
4,1,51,0,236
5,1,46,3,234
6,1,46,2,233
7,1,46,1,233
8,1,45,254,232
9,1,50,1,235
10,1,46,254,235
11,1,46,255,233
12,1,48,254,236
13,1,45,254,233
14,1,42,254,235
15,1,44,254,235
16,1,48,0,235
17,1,43,255,235
18,1,41,255,236
19,1,40,253,238
20,1,36,255,231
21,1,39,254,235
22,1,44,255,237
23,1,41,253,238
24,1,39,253,235
25,1,38,252,236
26,1,38,253,236
27,1,31,0,234
28,1,36,254,236
29,1,37,254,241
30,1,34,255,237
31,1,34,253,240
32,1,32,253,242
33,1,31,253,238
34,1,29,254,240
35,1,28,255,233
36,1,35,254,239
37,1,31,253,239
38,1,32,253,239
39,1,29,255,238
40,1,31,253,242
41,1,31,253,241
42,1,27,254,237
43,1,31,254,238
44,1,29,254,239
45,1,30,255,240
46,1,27,253,237
47,1,24,0,237
48,1,28,254,239
49,1,28,254,238
50,1,24,252,237
51,1,24,255,238
52,1,28,252,236
53,1,23,252,241
54,1,26,251,239
55,1,21,252,235
56,1,19,250,238
57,1,19,253,235
58,1,19,253,234
59,1,22,254,239
60,1,16,0,235
61,1,25,0,237
62,1,28,0,241
63,1,30,1,242
64,1,24,0,241
65,1,25,2,241
66,1,27,2,243
67,1,26,0,242
68,1,24,2,245
69,1,23,2,242
70,1,21,4,242
71,1,26,3,241
72,1,22,5,241
73,1,18,3,237
74,1,23,4,242
75,1,22,4,242
76,1,20,5,241
77,1,22,3,245
78,1,22,2,243
79,1,21,5,244
80,1,19,8,241
81,1,21,5,242
82,1,17,6,242
83,1,20,3,247
84,1,22,5,244
85,1,17,5,243
86,1,18,5,246
87,1,20,5,247
88,1,22,4,245
89,1,17,4,246
90,1,16,4,244
91,1,15,4,244
92,1,15,6,245
93,1,12,6,244
94,1,8,7,246
95,1,12,6,250
96,1,14,3,245
97,1,10,4,247
98,1,8,7,246
99,1,12,2,247
100,1,13,4,247
101,1,11,5,249
102,1,6,5,247
103,1,7,254,250
104,1,3,1,248
105,1,3,2,247
106,1,6,1,254
107,1,3,3,251
108,1,2,2,251
109,1,3,2,251
110,1,4,2,249
111,1,1,0,250
112,1,4,255,254
113,1,255,0,250
114,1,4,0,252
115,1,0,0,254
116,1,6,0,255
117,1,2,255,1
118,1,255,254,0
119,1,255,254,255
0,2,53,4,231
1,2,53,2,231
2,2,48,1,231
3,2,50,3,232
4,2,50,0,232
5,2,48,0,231
6,2,49,1,232
7,2,46,1,234
8,2,50,0,234
9,2,48,255,238
10,2,47,255,236
11,2,45,254,235
12,2,44,253,238
13,2,46,255,238
14,2,45,255,236
15,2,47,255,237
16,2,47,0,238
17,2,45,252,237
18,2,41,254,236
19,2,42,254,239
20,2,39,254,236
21,2,41,251,239
22,2,43,254,237
23,2,38,253,237
24,2,38,254,235
25,2,39,251,237
26,2,36,253,234
27,2,34,253,235
28,2,32,255,235
29,2,37,253,239
30,2,35,253,237
31,2,37,255,236
32,2,31,254,237
33,2,30,0,237
34,2,31,254,240
35,2,33,1,237
36,2,35,253,240
37,2,30,254,239
38,2,34,253,240
39,2,28,1,233
40,2,31,253,239
41,2,33,254,241
42,2,28,253,238
43,2,28,253,239
44,2,31,254,243
45,2,27,255,238
46,2,26,254,239
47,2,23,1,238
48,2,29,254,241
49,2,24,254,235
50,2,24,253,239
51,2,25,253,238
52,2,26,252,238
53,2,26,252,240
54,2,23,252,239
55,2,20,252,235
56,2,22,251,240
57,2,18,255,235
58,2,18,254,236
59,2,25,0,238
60,2,23,0,241
61,2,27,3,239
62,2,28,0,240
63,2,26,2,240
64,2,22,3,240
65,2,26,2,242
66,2,25,3,242
67,2,27,2,241
68,2,24,1,241
69,2,25,1,245
70,2,21,3,239
71,2,26,3,242
72,2,19,5,242
73,2,23,5,240
74,2,22,4,243
75,2,21,3,241
76,2,22,6,244
77,2,24,4,241
78,2,22,4,248
79,2,21,6,245
80,2,19,6,242
81,2,20,5,242
82,2,15,4,243
83,2,17,5,246
84,2,17,6,244
85,2,17,5,243
86,2,17,6,247
87,2,16,7,245
88,2,19,7,246
89,2,15,7,245
90,2,15,5,244
91,2,13,7,243
92,2,12,3,245
93,2,16,5,247
94,2,10,5,248
95,2,14,4,248
96,2,13,4,248
97,2,14,3,246
98,2,11,6,244
99,2,10,3,248
100,2,12,0,250
101,2,12,2,247
102,2,6,3,247
103,2,8,1,250
104,2,8,2,247
105,2,5,3,248
106,2,8,3,250
107,2,6,2,252
108,2,3,1,248
109,2,7,255,251
110,2,3,1,250
111,2,2,2,251
112,2,3,1,252
113,2,2,2,251
114,2,2,1,253
115,2,254,0,254
116,2,5,255,254
117,2,2,255,0
118,2,252,254,0
119,2,2,254,255
0,3,57,5,234
1,3,58,2,228
2,3,53,2,231
3,3,52,0,232
4,3,51,2,234
5,3,49,1,230
6,3,47,1,233
7,3,52,254,236
8,3,49,255,233
9,3,50,255,236
10,3,44,0,235
11,3,46,253,233
