X,Y,R,G,B
0,0,49,4,218
1,0,47,5,217
2,0,47,2,217
3,0,43,4,219
4,0,42,4,220
5,0,42,3,217
6,0,42,5,222
7,0,44,1,224
8,0,42,4,220
9,0,45,3,221
10,0,43,2,219
11,0,43,0,219
12,0,41,2,226
13,0,41,3,222
14,0,43,4,225
15,0,36,5,220
16,0,43,2,219
17,0,36,0,223
18,0,39,0,223
19,0,40,0,220
20,0,40,253,227
21,0,35,254,220
22,0,41,255,222
23,0,39,0,220
24,0,35,254,220
25,0,34,252,222
26,0,32,251,225
27,0,30,254,223
28,0,34,253,224
29,0,36,254,226
30,0,36,255,225
31,0,32,253,226
32,0,41,255,231
33,0,32,255,231
34,0,41,251,234
35,0,29,252,235
36,0,28,253,233
37,0,35,253,232
38,0,33,0,227
39,0,37,253,229
40,0,31,253,229
41,0,34,250,233
42,0,28,252,229
43,0,24,253,230
44,0,31,252,235
45,0,29,253,232
46,0,33,251,235
47,0,25,253,224
48,0,24,248,227
49,0,24,253,230
50,0,20,249,227
51,0,21,252,224
52,0,23,250,228
53,0,19,250,228
54,0,19,249,226
55,0,16,250,225
56,0,13,251,226
57,0,15,250,225
58,0,22,247,231
59,0,14,251,231
60,0,19,254,228
61,0,19,251,232
62,0,18,254,238
63,0,22,2,232
64,0,23,253,232
65,0,17,255,230
66,0,16,254,233
67,0,14,251,235
68,0,14,254,234
69,0,11,3,227
70,0,13,3,234
71,0,13,1,230
72,0,11,2,228
73,0,10,1,229
74,0,11,5,229
75,0,9,3,232
76,0,12,4,232
77,0,16,4,233
78,0,16,4,232
79,0,11,4,233
80,0,12,6,228
81,0,12,7,229
82,0,7,7,226
83,0,13,6,231
84,0,14,5,232
85,0,13,6,231
86,0,7,5,230
87,0,6,5,231
88,0,7,6,232
89,0,5,7,227
90,0,7,7,234
91,0,6,6,228
92,0,4,6,232
93,0,9,7,230
94,0,1,5,232
95,0,7,3,238
96,0,8,3,235
97,0,253,9,229
98,0,4,5,234
99,0,1,7,233
100,0,7,4,232
101,0,255,7,230
102,0,5,5,236
103,0,3,0,235
104,0,253,0,232
105,0,3,3,235
106,0,255,5,235
107,0,2,4,237
108,0,254,4,237
109,0,252,1,237
110,0,0,3,237
111,0,252,3,239
112,0,0,2,239
113,0,251,4,237
114,0,254,1,236
115,0,252,3,238
116,0,251,3,241
117,0,252,3,244
118,0,247,2,241
119,0,249,3,245
0,1,50,4,220
1,1,45,5,216
2,1,47,3,219
3,1,47,5,218
4,1,45,5,218
5,1,44,4,221
6,1,45,4,219
7,1,45,3,220
8,1,43,2,220
9,1,44,4,220
10,1,40,2,221
11,1,39,3,221
12,1,45,1,226
13,1,45,3,218
14,1,39,2,223
15,1,41,3,220
16,1,40,3,218
17,1,33,1,220
18,1,36,2,221
19,1,41,255,220
20,1,40,1,222
21,1,36,255,222
22,1,40,255,222
23,1,36,253,221
24,1,33,254,222
25,1,31,254,220
26,1,30,252,224
27,1,32,255,222
28,1,32,255,225
29,1,33,255,226
30,1,33,254,228
31,1,35,254,229
32,1,40,253,232
33,1,32,255,229
34,1,35,252,230
35,1,30,255,228
36,1,34,251,232
37,1,32,253,230
38,1,32,255,228
39,1,31,0,230
40,1,30,252,230
41,1,28,251,232
42,1,30,252,229
43,1,28,253,231
44,1,29,251,231
45,1,30,253,232
46,1,25,250,227
47,1,23,253,226
48,1,24,250,228
49,1,22,251,229
50,1,20,249,227
