Mx,My,dx,dy
25,11,0,0
54,12,-1,0
83,13,0,1
111,13,1,2
140,14,1,2
169,14,1,2
198,14,1,2
227,14,1,1
256,14,2,1
286,14,2,0
315,14,1,0
26,39,-1,0
55,39,0,2
83,40,0,2
112,40,0,4
140,41,0,4
169,41,0,3
198,41,0,3
227,42,1,1
256,42,1,0
286,41,2,0
315,41,1,1
26,66,-1,1
55,67,0,2
83,67,1,3
112,67,0,5
141,68,-1,5
169,68,-1,5
198,68,0,3
227,68,1,2
256,68,2,1
286,69,2,0
315,68,1,1
26,93,-1,1
55,93,-1,2
84,93,0,4
112,94,-3,5
141,94,-1,6
169,94,1,7
198,94,-1,4
228,94,0,2
256,95,2,1
286,95,2,0
315,95,2,0
26,120,-1,1
55,120,-2,3
84,120,-1,4
113,121,-6,9
141,121,-1,10
170,121,2,9
198,121,0,4
228,121,1,2
257,122,2,1
286,122,2,1
314,122,3,1
26,147,-2,2
55,147,-1,3
84,147,-1,4
113,147,-3,12
141,147,0,14
170,148,2,10
199,148,6,6
228,148,1,2
257,149,2,1
286,149,3,1
315,149,2,1
26,174,-2,2
55,174,-1,3
84,174,-1,4
113,174,-2,8
142,174,-2,9
170,175,1,5
199,175,1,4
228,175,2,3
257,176,2,2
287,176,2,2
315,177,2,1
26,201,-2,3
55,201,-2,3
84,201,-1,4
113,201,-1,4
142,201,0,5
170,202,1,4
199,202,2,4
228,202,3,4
257,203,3,2
287,203,3,2
316,205,1,1
26,228,-2,3
56,228,-2,3
84,228,-1,5
113,228,-1,5
142,228,0,5
171,229,1,4
200,229,1,4
229,229,2,4
258,231,3,3
288,232,2,2
316,232,1,2
